label	node.type	out.nbhood	out.foc.cp	tcnd	hgU133p2.Mpb	chr	gname	x
MSH6	2	3	0	.	202911_at	2p16	mutS homolog 6 (E. coli)	202911_at
RB1	2	3	0	.	203132_at	13q14.2	retinoblastoma 1	203132_at
TNF	2	3	0	.	207113_s_at	6p21.3	"tumor necrosis factor (TNF superfamily, member 2)"	207113_s_at
MSH2	2	3	0	.	209421_at	2p22-p21	"mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)"	209421_at
VTI1A	2	3	0	.	242356_at	10q25.2	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	216943_at
IL27	2	2	0	.	1552995_at	-	interleukin 27	203307_at
CBX5	2	2	0	atrt	234990_at	12q13.13	"chromobox homolog 5 (HP1 alpha homolog, Drosophila)"	" 209715_at,212126_at"
DNMT1	2	2	0	.	201697_s_at	19p13.2	DNA (cytosine-5-)-methyltransferase 1	201697_s_at
VAMP4	2	2	0	.	213480_at	1q24-q25	vesicle-associated membrane protein 4	213480_at
GRLF1	2	2	0	atrt	202044_at	19q13.3	glucocorticoid receptor DNA binding factor 1	202044_at
COL18A1	2	2	0	.	209081_s_at	21q22.3	"collagen, type XVIII, alpha 1"	209081_s_at
TAF5	2	2	0	.	1553528_a_at	10q24-q25.2	"TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa"	210053_at
MBD2	2	2	0	x	202484_s_at	18q21	methyl-CpG binding domain protein 2	202484_s_at
IL21	2	2	0	.	221271_at	4q26-q27	interleukin 21	221271_at
TAF13	2	2	0	.	205966_at	1p13.3	"TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa"	205966_at
STAT6	2	2	0	.	201331_s_at	12q13	"signal transducer and activator of transcription 6, interleukin-4 induced"	201331_s_at
CLCN3	2	2	0	atrt	201732_s_at	4q33	chloride channel 3	201732_s_at
SMAD1	2	2	0	.	208015_at	4q31	SMAD family member 1	208015_at
STX6	2	2	0	.	212799_at	1q25.3	syntaxin 6	212799_at
MLH1	2	2	0	.	202520_s_at	3p21.3	"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)"	202520_s_at
PIAS1	2	2	0	gbm	217864_s_at	15q	"protein inhibitor of activated STAT, 1"	217864_s_at
GEMIN4	2	2	0	.	205527_s_at	17p13	gem (nuclear organelle) associated protein 4	205527_s_at
CXCL2	2	2	0	.	230101_at	4q21	chemokine (C-X-C motif) ligand 2	209774_x_at
CXCL10	2	2	0	.	204533_at	4q21	chemokine (C-X-C motif) ligand 10	204533_at
SLC9A3R1	2	2	0	.	201349_at	17q25.1	"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1"	201349_at
SREBF2	2	2	0	atrt	201247_at	22q13	sterol regulatory element binding transcription factor 2	201247_at
DDX20	2	2	0	.	223331_s_at	1p21.1-p13.2	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20	NA
CASP9	3	1	0	.	240437_at	1p36.3-p36.1	"caspase 9, apoptosis-related cysteine peptidase"	" 203984_s_at,210775_x_at"
IFNA2	3	1	0	.	211338_at	9p22	"interferon, alpha 2"	211338_at
CTNNB1	3	1	0	.	223679_at	3p21	"catenin (cadherin-associated protein), beta 1, 88kDa"	201533_at
IFNB1	3	1	0	.	208173_at	9p21	"interferon, beta 1, fibroblast"	208173_at
DDX6	3	1	0	.	225549_at	11q23.3	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	204909_at
BTG2	3	1	0	atrt	201236_s_at	1q32	"BTG family, member 2"	201236_s_at
PDGFRB	3	1	0	.	202273_at	5q31-q32	"platelet-derived growth factor receptor, beta polypeptide"	202273_at
TERF2	3	1	0	.	203611_at	16q22.1	telomeric repeat binding factor 2	203611_at
ECT2	3	1	0	atrt	219787_s_at	3q26.1-q26.2	epithelial cell transforming sequence 2 oncogene	219787_s_at
ILF3	3	1	0	sf	217805_at	19p13.2	"interleukin enhancer binding factor 3, 90kDa"	217805_at
TIMP1	3	1	0	.	201666_at	Xp11.3-p11.23	TIMP metallopeptidase inhibitor 1	201666_at
XPC	3	1	0	.	209375_at	3p25	"xeroderma pigmentosum, complementation group C"	209375_at
ID1	3	1	0	.	208937_s_at	20q11	"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"	208937_s_at
TWIST1	3	1	0	atrt	213943_at	7p21.2	twist homolog 1 (Drosophila)	213943_at
CHRNA3	3	1	0	atrt	211772_x_at	15q24	"cholinergic receptor, nicotinic, alpha 3"	211772_x_at
ADAM12	3	1	0	atrt	202952_s_at	10q26.3	ADAM metallopeptidase domain 12	202952_s_at
CNOT8	3	1	0	atrt	202163_s_at	5q31-q33	"CCR4-NOT transcription complex, subunit 8"	202163_s_at
STAR	3	1	0	x	204548_at	8p11.2	steroidogenic acute regulatory protein	204548_at
PMS2	3	1	0	.	209805_at	7p22.2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	209805_at
SRRM1	3	1	0	.	201225_s_at	1p36.11	serine/arginine repetitive matrix 1	201225_s_at
CCL4	3	1	0	.	204103_at	17q12	chemokine (C-C motif) ligand 4	204103_at
PPP2R2B	3	1	0	snail	205643_s_at	5q31-q32	"protein phosphatase 2 (formerly 2A), regulatory subunit B, beta isoform"	205643_s_at
GHRL	3	1	0	.	237647_at	3p26-p25	ghrelin/obestatin prepropeptide	NA
MED29	3	1	0	.	225708_at	19q13.2	mediator complex subunit 29	NA
TNRC6A	3	1	0	.	224705_s_at	16p11.2	trinucleotide repeat containing 6A	NA
MED11	3	1	0	atrt	226958_s_at	17p13.2	mediator complex subunit 11	NA
UBQLN1	3	1	0	.	222990_at	9q22|9q21.2-q21.3	ubiquilin 1	NA
