label	n.type	n.nb	n.foc	ind.g	pbs	chr	gname	x
HNRNPD	2	4	0	ipa	" 200073_s_at,205183_at,209330_s_at,213359_at,221480_at,221481_x_at"	4q21.1-q21.2	"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)"	205183_at
ILF3	2	4	0	ipa	" 208930_s_at,208931_s_at,211375_s_at,217804_s_at,217805_at"	19p13.2	"interleukin enhancer binding factor 3, 90kDa"	217804_s_at
BRCA2	2	3	0	ipa	" 208368_s_at,214727_at"	13q12.3	"breast cancer 2, early onset"	208368_s_at
TIAL1	2	3	0	ipa	" 202405_at,202406_s_at,217500_at"	10q	TIA1 cytotoxic granule-associated RNA binding protein-like 1	217500_at
ELAVL1	2	3	0	ipa	" 201726_at,201727_s_at"	19p13.2	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)"	"207039_at,209644_x_at,211156_at"
CDKN2A	2	2	0	ipa	" 207039_at,209644_x_at,211156_at"	9p21	"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)"	209644_x_at
CHEK1	2	2	0	ipa	" 205393_s_at,205394_at"	11q24-q24	CHK1 checkpoint homolog (S. pombe)	205394_at
KIF23	2	2	0	ipa	204709_s_at	15q23	kinesin family member 23	201518_at
EZH2	2	2	0	ipa	203358_s_at	7q35-q36	enhancer of zeste homolog 2 (Drosophila)	203358_s_at
CBX1	2	2	0	ipa	201518_at	17q21.32	chromobox homolog 1 (HP1 beta homolog Drosophila )	201518_at
CBX3	2	2	0	ipa	" 200037_s_at,201091_s_at"	7p15.2	"chromobox homolog 3 (HP1 gamma homolog, Drosophila)"	"206528_at,217287_s_at"
GOLGA4	3	1	0	focus	" 201567_s_at,215203_at"	3p22-p21.3	"golgi autoantigen, golgin subfamily a, 4"	201567_s_at
TRPC6	3	1	0	focus	" 206528_at,217287_s_at"	11q21-q22	"transient receptor potential cation channel, subfamily C, member 6"	217287_s_at
F2	3	1	0	ipa	205754_at	11p11	coagulation factor II (thrombin)	205754_at
MLANA	3	1	0	ipa	" 206426_at,206427_s_at"	9p24.1	melan-A	206426_at
CSNK1E	3	1	0	lvcom	" 202332_at,222015_at"	22q13.1	"casein kinase 1, epsilon"	209457_at
ARHGAP5	3	1	0	focus	217936_at	14q12	Rho GTPase activating protein 5	"202269_x_at,202270_at"
DUSP5	3	1	0	ipa	209457_at	10q25	dual specificity phosphatase 5	209457_at
GBP1	3	1	0	ipa	" 202269_x_at,202270_at"	1p22.2	"guanylate binding protein 1, interferon-inducible, 67kDa"	209383_at
PMAIP1	3	1	0	focus	" 204285_s_at,204286_s_at"	18q21.32	phorbol-12-myristate-13-acetate-induced protein 1	204285_s_at
DDIT3	3	1	0	ipa	209383_at	12q13.1-q13.2	DNA-damage-inducible transcript 3	209383_at
INHBA	3	1	0	ipa	" 204926_at,210511_s_at"	7p15-p13	"inhibin, beta A"	210511_s_at
EED	3	1	0	ipa	" 209572_s_at,210656_at"	11q14.2-q22.3	embryonic ectoderm development	210656_at
SILV	3	1	0	focus	209848_s_at	12q13-q14	silver homolog (mouse)	209848_s_at
NCK1	3	1	0	focus	" 204725_s_at,211063_s_at"	3q21	NCK adaptor protein 1	204725_s_at
SPAG9	3	1	0	focus	" 206748_s_at,212468_at,212470_at"	17q21.33	sperm associated antigen 9	NA
