V1	V2	V3	V4	V5	V6
238	2	ALK	2p23	anaplastic lymphoma receptor tyrosine kinase	 208211_s_at,208212_s_at
267	2	AMFR	16q21	autocrine motility factor receptor	 202203_s_at,202204_s_at
10393	2	ANAPC10	4q31	anaphase promoting complex subunit 10	 207845_s_at,241959_at
284	3	ANGPT1	8q22.3-q23	angiopoietin 1	 1552939_at,205608_s_at,205609_at
57037	1	ANKMY2	7p21	ankyrin repeat and MYND domain containing 2	212798_s_at
301	2	ANXA1	9q12-q21.2|9q12-q21.2	annexin A1	 201012_at,233011_at
302	4	ANXA2	15q21-q22	annexin A2	 1568126_at,201590_x_at,210427_x_at,213503_x_at
310	2	ANXA7	10q21.1-q21.2	annexin A7	 201366_at,209860_s_at
244	1	ANXA8L2	10q11.22	annexin A8-like 2	203074_at
54518	3	APBB1IP	10p12.1	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	 1554571_at,219994_at,230925_at
324	5	APC	5q21-q22	adenomatous polyposis coli	 203525_s_at,203526_s_at,203527_s_at,215310_at,216933_x_at
358	2	AQP1	7p14	aquaporin 1 (Colton blood group)	 207542_s_at,209047_at
369	2	ARAF	Xp11.4-p11.2	v-raf murine sarcoma 3611 viral oncogene homolog	 201895_at,230652_at
405	5	ARNT	1q21	aryl hydrocarbon receptor nuclear translocator	 210828_s_at,218221_at,218222_x_at,230619_at,233724_at
259266	3	ASPM	1q31	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	 219918_s_at,232238_at,239002_at
171023	6	ASXL1	20q11.1	additional sex combs like 1 (Drosophila)	 212234_at,212237_at,212238_at,242438_at,242439_s_at,244519_at
136991	1	ASZ1	7q31.2	ankyrin repeat, SAM and basic leucine zipper domain containing 1	1569729_a_at
472	6	ATM	11q22-q23	ataxia telangiectasia mutated	 1553387_at,1554631_at,1570352_at,208442_s_at,210858_x_at,212672_at
529	1	ATP6V1E1	22pter-q11.2|22q11.1	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1	208678_at
545	3	ATR	3q22-q24	ataxia telangiectasia and Rad3 related	 209902_at,209903_s_at,233288_at
6790	3	AURKA	20q13.2-q13.3	aurora kinase A	 204092_s_at,208079_s_at,208080_at
9212	2	AURKB	17p13.1	aurora kinase B	 209464_at,239219_at
6795	1	AURKC	19q13.43	aurora kinase C	211107_s_at
10677	4	AVIL	12q14.1	advillin	 1568706_s_at,205539_at,210507_s_at,233333_x_at
558	2	AXL	19q13.1	AXL receptor tyrosine kinase	 202685_s_at,202686_s_at
572	3	BAD	11q13.1	BCL2-associated agonist of cell death	 1861_at,209364_at,232660_at
575	1	BAI1	8q24	brain-specific angiogenesis inhibitor 1	206083_at
577	2	BAI3	6q12	brain-specific angiogenesis inhibitor 3	 205638_at,211568_at
25805	1	BAMBI	10p12.3-p11.2	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	203304_at
581	2	BAX	19q13.3-q13.4	BCL2-associated X protein	 208478_s_at,211833_s_at
9564	1	BCAR1	16q22-q23	breast cancer anti-estrogen resistance 1	223116_at
53335	5	BCL11A	2p16.1	B-cell CLL/lymphoma 11A (zinc finger protein)	 1559078_at,210347_s_at,219497_s_at,219498_s_at,222891_s_at
64919	3	BCL11B	14q32.2	B-cell CLL/lymphoma 11B (zinc finger protein)	 219528_s_at,222895_s_at,224310_s_at
596	4	BCL2	18q21.33|18q21.3	B-cell CLL/lymphoma 2	 203684_s_at,203685_at,207004_at,207005_s_at
598	4	BCL2L1	20q11.21	BCL2-like 1	 206665_s_at,212312_at,215037_s_at,231228_at
10018	7	BCL2L11	2q13	BCL2-like 11 (apoptosis facilitator)	 1553088_a_at,1553096_s_at,1555372_at,1558143_a_at,208536_s_at,222343_at,225606_at
83596	1	BCL2L12	19q13.3	BCL2-like 12 (proline rich)	233110_s_at
23786	5	BCL2L13	22q11.1	BCL2-like 13 (apoptosis facilitator)	 1560977_a_at,217955_at,223664_x_at,224035_s_at,226798_at
613	3	BCR	22q11|22q11.23	breakpoint cluster region	 202315_s_at,217223_s_at,226602_s_at
637	3	BID	22q11.1	BH3 interacting domain death agonist	 204493_at,211725_s_at,227143_s_at
638	1	BIK	22q13.31	BCL2-interacting killer (apoptosis-inducing)	205780_at
332	3	BIRC5	17q25	baculoviral IAP repeat-containing 5	 202094_at,202095_s_at,210334_x_at
654	3	BMP6	6p24-p23	bone morphogenetic protein 6	 206176_at,215042_at,241141_at
657	2	BMPR1A	10q22.3	bone morphogenetic protein receptor, type IA	 204832_s_at,213578_at
658	3	BMPR1B	4q22-q24	bone morphogenetic protein receptor, type IB	 210523_at,229975_at,242579_at
673	2	BRAF	7q34	v-raf murine sarcoma viral oncogene homolog B1	 206044_s_at,243829_at
672	2	BRCA1	17q21	breast cancer 1, early onset	 204531_s_at,211851_x_at
675	2	BRCA2	13q12.3	breast cancer 2, early onset	 208368_s_at,214727_at
84446	1	BRSK1	19q13.4	BR serine/threonine kinase 1	1552504_a_at
7832	2	BTG2	1q32	BTG family, member 2	 201235_s_at,201236_s_at
701	1	BUB1B	15q15	budding uninhibited by benzimidazoles 1 homolog beta (yeast)	203755_at
56672	3	C11orf17	11p15.3	chromosome 11 open reading frame 17	 219953_s_at,220987_s_at,242515_x_at
147339	4	C18orf25	18q21.1	chromosome 18 open reading frame 25	 1553686_at,217508_s_at,217539_at,226406_at
10882	2	C1QL1	17q21	complement component 1, q subcomponent-like 1	 205575_at,214346_at
140688	6	C20orf112	20q11.1-q11.23	chromosome 20 open reading frame 112	 1558679_at,225224_at,230954_at,230955_s_at,234031_at,241830_at
140706	2	C20orf160	20q11.2	chromosome 20 open reading frame 160	 1570070_at,231991_at
25980	1	C20orf4	20pter-q12	chromosome 20 open reading frame 4	218089_at
25775	1	C22orf24	22q12.1-q12.3	chromosome 22 open reading frame 24	207701_at
9315	3	C5orf13	5q22.1	chromosome 5 open reading frame 13	 201309_x_at,201310_s_at,230424_at
829	3	CAPZA1	1p13.2	capping protein (actin filament) muscle Z-line, alpha 1	 208374_s_at,217392_at,241275_at
830	3	CAPZA2	7q31.2-q31.3	capping protein (actin filament) muscle Z-line, alpha 2	 1569450_at,201237_at,201238_s_at
842	3	CASP9	1p36.3-p36.1	caspase 9, apoptosis-related cysteine peptidase	 203984_s_at,210775_x_at,240437_at
831	4	CAST	5q15	calpastatin	 1564010_at,207467_x_at,208908_s_at,212586_at
867	5	CBL	11q23.3	Cas-Br-M (murine) ecotropic retroviral transforming sequence	 206607_at,225231_at,225234_at,229010_at,243475_at
891	2	CCNB1	5q12	cyclin B1	 214710_s_at,228729_at
595	2	CCND1	11q13	cyclin D1	 208711_s_at,208712_at
894	3	CCND2	12p13	cyclin D2	 200951_s_at,200952_s_at,200953_s_at
898	2	CCNE1	19q12	cyclin E1	 213523_at,242105_at
4179	4	CD46	1q32	CD46 molecule, complement regulatory protein	 207549_x_at,208783_s_at,211574_s_at,237126_at
8872	1	CDC123	10p13	cell division cycle 123 homolog (S. cerevisiae)	201725_at
998	5	CDC42	1p36.1	cell division cycle 42 (GTP binding protein, 25kDa)	 208727_s_at,208728_s_at,210232_at,214230_at,226400_at
1017	3	CDK2	12q13	cyclin-dependent kinase 2	 204252_at,211803_at,211804_s_at
1019	1	CDK4	12q14	cyclin-dependent kinase 4	202246_s_at
1021	7	CDK6	7q21-q22	cyclin-dependent kinase 6	 207143_at,224847_at,224848_at,224851_at,231198_at,235287_at,243000_at
1024	3	CDK8	13q12	cyclin-dependent kinase 8	 1553112_s_at,1553113_s_at,204831_at
6792	2	CDKL5	Xp22	cyclin-dependent kinase-like 5	 206575_at,216923_at
1027	1	CDKN1B	12p13.1-p12	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	209112_at
1028	6	CDKN1C	11p15.5	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	 213182_x_at,213183_s_at,213348_at,216894_x_at,219533_at,219534_x_at
1029	3	CDKN2A	9p21	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	 207039_at,209644_x_at,211156_at
1030	2	CDKN2B	9p21	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	 207530_s_at,236313_at
1031	2	CDKN2C	1p32	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	 204159_at,211792_s_at
1033	2	CDKN3	14q22	cyclin-dependent kinase inhibitor 3	 1555758_a_at,209714_s_at
634	5	CEACAM1	19q13.2	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	 206576_s_at,209498_at,210610_at,211883_x_at,211889_x_at
1050	1	CEBPA	19q13.1	CCAAT/enhancer binding protein (C/EBP), alpha	204039_at
27440	1	CECR5	-	cat eye syndrome chromosome region, candidate 5	218592_s_at
1063	2	CENPF	1q32-q41	centromere protein F, 350/400ka (mitosin)	 207828_s_at,209172_s_at
116986	2	AGAP2	12q14.1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	 206152_at,215080_s_at
1080	6	CFTR	7q31.2	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	 205043_at,215702_s_at,215703_at,217026_at,234702_x_at,234706_x_at
1103	1	CHAT	10q11.2	choline acetyltransferase	221197_s_at
26038	2	CHD5	1p36.31	chromodomain helicase DNA binding protein 5	 213965_s_at,217250_s_at
1111	3	CHEK1	11q24-q24	CHK1 checkpoint homolog (S. pombe)	 205393_s_at,205394_at,238075_at
11200	1	CHEK2	22q11|22q12.1	CHK2 checkpoint homolog (S. pombe)	210416_s_at
1116	3	CHI3L1	1q32.1	chitinase 3-like 1 (cartilage glycoprotein-39)	 209395_at,209396_s_at,216546_s_at
1117	1	CHI3L2	1p13.3	chitinase 3-like 2	213060_s_at
26511	1	CHIC2	4q11	cysteine-rich hydrophobic domain 2	219492_at
10752	2	CHL1	3p26.1	cell adhesion molecule with homology to L1CAM (close homolog of L1)	 204591_at,234583_at
1123	1	CHN1	2q31.1	chimerin (chimaerin) 1	212624_s_at
7122	1	CLDN5	22q11.21	claudin 5	204482_at
1192	1	CLIC1	6p22.1-p21.2	chloride intracellular channel 1	208659_at
1271	1	CNTFR	9p13	ciliary neurotrophic factor receptor	205723_at
1277	5	COL1A1	17q21.33	collagen, type I, alpha 1	 1556499_s_at,202310_s_at,202311_s_at,202312_s_at,217430_x_at
1278	3	COL1A2	7q22.1	collagen, type I, alpha 2	 202403_s_at,202404_s_at,229218_at
1281	4	COL3A1	2q31	collagen, type III, alpha 1	 201852_x_at,211161_s_at,215076_s_at,232458_at
1292	2	COL6A2	21q22.3	collagen, type VI, alpha 2	 209156_s_at,213290_at
1398	2	CRK	17p13.3	v-crk sarcoma virus CT10 oncogene homolog (avian)	 202224_at,202226_s_at
1410	1	CRYAB	11q22.3-q23.1	crystallin, alpha B	209283_at
1436	1	CSF1R	5q33-q35	colony stimulating factor 1 receptor	203104_at
1454	5	CSNK1E	22q13.1	casein kinase 1, epsilon	 202332_at,222015_at,225756_at,226858_at,234943_at
10106	2	CTDSP2	12q13-q15	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	 203445_s_at,208735_s_at
1512	1	CTSH	15q24-q25	cathepsin H	202295_s_at
8451	5	CUL4A	13q34	cullin 4A	 201423_s_at,201424_s_at,227757_at,232466_at,242194_at
57007	3	CXCR7	2q37.3	chemokine (C-X-C motif) receptor 7	 1559114_a_at,212977_at,232746_at
1540	7	CYLD	16q12.1	cylindromatosis (turban tumor syndrome)	 213295_at,214272_at,221903_s_at,221905_at,222142_at,39582_at,60084_at
1594	1	CYP27B1	12q13.1-q13.3	cytochrome P450, family 27, subfamily B, polypeptide 1	205676_at
1571	4	CYP2E1	10q24.3-qter	cytochrome P450, family 2, subfamily E, polypeptide 1	 1431_at,209975_at,209976_s_at,222100_at
1576	5	CYP3A4	7q21.1	cytochrome P450, family 3, subfamily A, polypeptide 4	 205998_x_at,205999_x_at,208367_x_at,210726_at,231704_at
1613	3	DAPK3	19p13.3	death-associated protein kinase 3	 203890_s_at,203891_s_at,228681_x_at
1621	2	DBH	9q34	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	 206450_at,234916_at
9201	4	DCLK1	13q13	doublecortin-like kinase 1	 205399_at,215303_at,229800_at,230962_at
1641	2	DCX	Xq22.3-q23	doublecortin	 204850_s_at,204851_s_at
1662	2	DDX10	11q22-q23	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	 1563522_at,204977_at
9681	1	DEPDC5	22q12.3	DEP domain containing 5	205223_at
8527	1	DGKD	2q37.1	diacylglycerol kinase, delta 130kDa	208072_s_at
1608	2	DGKG	3q27.2-q27.3	diacylglycerol kinase, gamma 90kDa	 206395_at,242319_at
160851	1	DGKH	13q14.11	diacylglycerol kinase, eta	1553300_a_at
55526	2	DHTKD1	10p14	dehydrogenase E1 and transketolase domain containing 1	 209916_at,227094_at
1755	1	DMBT1	-	deleted in malignant brain tumors 1	208250_s_at
3337	2	DNAJB1	19p13.2	DnaJ (Hsp40) homolog, subfamily B, member 1	 200664_s_at,200666_s_at
1785	3	DNM2	19p13.2	dynamin 2	 1555895_at,202253_s_at,216024_at
1793	5	DOCK1	10q26.13-q26.3	dedicator of cytokinesis 1	 203187_at,232930_at,232973_at,241708_at,241709_s_at
1804	3	DPP6	7q36.2	dipeptidyl-peptidase 6	 1554796_at,207789_s_at,228546_at
10570	3	DPYSL4	10q26	dihydropyrimidinase-like 4	 205492_s_at,205493_s_at,214301_s_at
667	8	DST	6p12.1	dystonin	 1553191_at,204455_at,212253_x_at,212254_s_at,215016_x_at,216918_s_at,220154_at,232098_at
196403	5	DTX3	12q13.3	deltex homolog 3 (Drosophila)	 221835_at,222022_at,235721_at,49049_at,49051_g_at
8445	4	DYRK2	12q15	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	 202968_s_at,202969_at,202970_at,202971_s_at
1869	2	E2F1	20q11.2	E2F transcription factor 1	 2028_s_at,204947_at
1876	1	E2F6	2p25.1	E2F transcription factor 6	203957_at
2202	3	EFEMP1	2p16	EGF-containing fibulin-like extracellular matrix protein 1	 201842_s_at,201843_s_at,228421_s_at
1956	8	EGFR	7p12	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	 1565483_at,1565484_x_at,201983_s_at,201984_s_at,210984_x_at,211550_at,211551_at,211607_x_at
1977	4	EIF4E	4q21-q25	eukaryotic translation initiation factor 4E	 201435_s_at,201436_at,201437_s_at,237718_at
1993	2	ELAVL2	9p21	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	 208427_s_at,228260_at
1996	3	ELAVL4	1p34	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	 206051_at,234904_x_at,238073_at
2014	1	EMP3	19q13.3	epithelial membrane protein 3	203729_at
55740	6	ENAH	1q42.12	enabled homolog (Drosophila)	 1553672_at,217820_s_at,222433_at,222434_at,228310_at,228553_at
2033	2	EP300	22q13.2	E1A binding protein p300	 202221_s_at,213579_s_at
57634	4	EP400	12q24.33	E1A binding protein p400	 212375_at,212376_s_at,230628_at,230629_s_at
1969	1	EPHA2	1p36	EPH receptor A2	203499_at
2042	3	EPHA3	3p11.2	EPH receptor A3	 206070_s_at,206071_s_at,211164_at
2043	5	EPHA4	2q36.1	EPH receptor A4	 206114_at,227449_at,228948_at,229374_at,238671_at
2045	4	EPHA7	6q16.1	EPH receptor A7	 1554629_at,206852_at,229288_at,238533_at
2060	2	EPS15	1p32	epidermal growth factor receptor pathway substrate 15	 217886_at,217887_s_at
2064	3	ERBB2	17q11.2-q12|17q21.1	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	 210930_s_at,216836_s_at,234354_x_at
55914	3	ERBB2IP	5q12.3	erbb2 interacting protein	 217941_s_at,222473_s_at,232896_at
2065	5	ERBB3	12q13	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	 1563252_at,1563253_s_at,202454_s_at,215638_at,226213_at
2113	3	ETS1	11q23.3	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	 1555355_a_at,214447_at,224833_at
2171	1	FABP5	8q21.13	fatty acid binding protein 5 (psoriasis-associated)	202345_s_at
2173	3	FABP7	6q22-q23	fatty acid binding protein 7, brain	 205029_s_at,205030_at,216192_at
25895	1	FAM119B	12q14.1	family with sequence similarity 119, member B	213861_s_at
55294	3	FBXW7	4q31.3	F-box and WD repeat domain containing 7	 218751_s_at,222729_at,229419_at
2241	1	FER	5q21	fer (fps/fes related) tyrosine kinase	206412_at
2246	3	FGF1	5q31	fibroblast growth factor 1 (acidic)	 1552721_a_at,205117_at,208240_s_at
2249	2	FGF4	11q13.3	fibroblast growth factor 4	 1552982_a_at,206783_at
2254	2	FGF9	13q11-q12	fibroblast growth factor 9 (glia-activating factor)	 206404_at,239178_at
2260	7	FGFR1	8p11.2-p11.1	fibroblast growth factor receptor 1	 207822_at,207937_x_at,210973_s_at,211535_s_at,215404_x_at,222164_at,226705_at
2263	11	FGFR2	10q26	fibroblast growth factor receptor 2	 203638_s_at,203639_s_at,208225_at,208228_s_at,208229_at,208234_x_at,211398_at,211399_at,211400_at,211401_s_at,240913_at
2261	2	FGFR3	4p16.3	fibroblast growth factor receptor 3	 204379_s_at,204380_s_at
81608	2	FIP1L1	4q12	FIP1 like 1 (S. cerevisiae)	 1554424_at,221007_s_at
2313	4	FLI1	11q24.1-q24.3	Friend leukemia virus integration 1	 204236_at,210786_s_at,211825_s_at,237722_at
2321	3	FLT1	13q12	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	 204406_at,210287_s_at,232809_s_at
2324	3	FLT4	5q35.3	fms-related tyrosine kinase 4	 210316_at,229902_at,234379_at
114793	3	FMNL2	2q23.3	formin-like 2	 226184_at,235881_at,242665_at
2335	7	FN1	2q34	fibronectin 1	 1558199_at,210495_x_at,211719_x_at,212464_s_at,214701_s_at,214702_at,216442_x_at
2308	3	FOXO1	13q14.1	forkhead box O1	 202723_s_at,202724_s_at,228484_s_at
2309	7	FOXO3	6q21	forkhead box O3	 204131_s_at,204132_s_at,210655_s_at,217399_s_at,224889_at,224891_at,231548_at
4303	1	FOXO4	Xq13.1	forkhead box O4	205451_at
2475	2	FRAP1	1p36.2	FK506 binding protein 12-rapamycin associated protein 1	 202288_at,215381_at
5045	1	FURIN	15q26.1	furin (paired basic amino acid cleaving enzyme)	201945_at
2549	7	GAB1	4q31.21	GRB2-associated binding protein 1	 1557030_at,1560382_at,207112_s_at,214987_at,225998_at,226002_at,229114_at
2550	3	GABBR1	6p21.31	gamma-aminobutyric acid (GABA) B receptor, 1	 203146_s_at,205890_s_at,238569_at
10912	1	GADD45G	9q22.1-q22.2	growth arrest and DNA-damage-inducible, gamma	204121_at
2621	2	GAS6	13q34	growth arrest-specific 6	 1598_g_at,202177_at
2625	3	GATA3	10p15	GATA binding protein 3	 209602_s_at,209603_at,209604_s_at
57798	4	GATAD1	7q21-q22	GATA zinc finger domain containing 1	 208503_s_at,213018_at,214718_at,242634_at
2729	3	GCLC	6p12	glutamate-cysteine ligase, catalytic subunit	 1555330_at,202922_at,202923_s_at
9518	3	GDF15	19p13.11	growth differentiation factor 15	 221576_at,221577_x_at,229868_s_at
115557	1	GEFT	12q13.3	-	227427_at
2691	1	GHRH	20q11.2	growth hormone releasing hormone	214524_at
2735	1	GLI1	12q13.2-q13.3	GLI family zinc finger 1	206646_at
2736	3	GLI2	2q14	GLI family zinc finger 2	 207034_s_at,208057_s_at,228537_at
2737	3	GLI3	7p13	GLI family zinc finger 3	 1569342_at,205201_at,227376_at
2765	1	GML	8q24.3	glycosylphosphatidylinositol anchored molecule like protein	208000_at
2770	2	GNAI1	7q21	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	 209576_at,227692_at
2778	13	GNAS	20q13.3	GNAS complex locus	 200780_x_at,200981_x_at,211858_x_at,212273_x_at,214157_at,214548_x_at,217057_s_at,217058_at,217673_x_at,228173_at,229274_at,235851_s_at,239037_at
9950	1	GOLGA5	14q32.12-q32.13	golgi autoantigen, golgin subfamily a, 5	218241_at
57120	5	GOPC	6q21	golgi associated PDZ and coiled-coil motif containing	 225022_at,225023_at,227214_at,227215_at,236862_at
10457	2	GPNMB	7p15	glycoprotein (transmembrane) nmb	 1554018_at,201141_at
27201	1	GPR78	4p16.1	G protein-coupled receptor 78	1553063_at
2887	4	GRB10	7p12-p11.2	growth factor receptor-bound protein 10	 209409_at,209410_s_at,210999_s_at,215248_at
2885	3	GRB2	17q24-q25	growth factor receptor-bound protein 2	 215075_s_at,223049_at,228572_at
2891	3	GRIA2	4q32-q33	glutamate receptor, ionotropic, AMPA 2	 205358_at,236538_at,241172_at
2909	5	GRLF1	19q13.3	glucocorticoid receptor DNA binding factor 1	 202044_at,202045_s_at,202046_s_at,229394_s_at,229397_s_at
2896	3	GRN	17q21.32	granulin	 200678_x_at,211284_s_at,216041_x_at
170825	1	GSX2	4q11-q12	GS homeobox 2	230338_x_at
2993	5	GYPA	4q28.2-q31.1	glycophorin A (MNS blood group)	 1559520_at,205837_s_at,205838_at,211820_x_at,211821_x_at
2994	4	GYPB	4q28-q31	glycophorin B (MNS blood group)	 207459_x_at,214407_x_at,216398_at,216833_x_at
2995	1	GYPC	2q14-q21	glycophorin C (Gerbich blood group)	202947_s_at
3002	1	GZMB	14q11.2	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	210164_at
3014	4	H2AFX	11q23.2-q23.3	H2A histone family, member X	 205436_s_at,212524_x_at,212525_s_at,213344_s_at
3055	1	HCK	20q11-q12	hemopoietic cell kinase	208018_s_at
3083	1	HGFAC	4p16	HGF activator	207027_at
3092	4	HIP1	7q11.23	huntingtin interacting protein 1	 1560317_s_at,205425_at,205426_s_at,226364_at
