id.a	id.b	pmid	txt	db
25	613	1712671,8112292,12543778	Affinity Capture-Western; Reconstituted Complex	BioGRID
25	613	11780146	-	HPRD
25	613	1383690	BCR interacts with c-Abl. This interaction was modeled on a demonstrated interaction between BCR from an unspecified source and human c-Abl.	BIND
25	1385	7565761	Reconstituted Complex	BioGRID
25	10152	7590236,12569093	Affinity Capture-Western; Reconstituted Complex	BioGRID
25	10152	7590236	-	HPRD
25	7535	7760813	Affinity Capture-Western	BioGRID
25	7535	7760813	-	HPRD
25	9564	7780740,8810278	Affinity Capture-Western; Biochemical Activity	BioGRID
25	9564	7780740	-	HPRD
25	1399	7926767,8083188,8978305,9820532	Affinity Capture-Western; Reconstituted Complex; Two-hybrid	BioGRID
25	1399	7493940	-	HPRD
25	6464	8112292,10194451	Affinity Capture-Western	BioGRID
25	6654	8112292	Affinity Capture-Western	BioGRID
25	5925	8242749,9071815	Affinity Capture-Western; Reconstituted Complex	BioGRID
25	5925	8242749	-	HPRD
25	5925	9632788	Rb interacts with c-Abl	BIND
25	5295	8294442	Reconstituted Complex	BioGRID
25	5295	1383690	c-Abl interacts with p85. This interaction was modeled on a demonstrated interaction between human c-Abl and bovine p85.	BIND
25	4739	8668148,8879209	Affinity Capture-Western	BioGRID
25	4739	8668148,8879209	-	HPRD
25	5777	8692915	Affinity Capture-Western	BioGRID
25	23429	8943360	Far Western; Reconstituted Complex; Two-hybrid	BioGRID
25	2887	9006901,9747873	Affinity Capture-Western; Reconstituted Complex	BioGRID
25	1796	9008161,11071635	Affinity Capture-Western; Biochemical Activity; Reconstituted Complex	BioGRID
25	1796	10567556	-	HPRD
25	10006	9010225,11418237,12672821	Affinity Capture-Western; Reconstituted Complex	BioGRID
25	10006	11418237	hNap1BP interacts with Abl.	BIND
25	10006	9010225,12672821	-	HPRD
25	472	9168117,10212258,11375976	Affinity Capture-Western; Reconstituted Complex; Two-hybrid	BioGRID
25	472	9168117	-	HPRD
25	8470	9211900,12475393	Affinity Capture-Western; Biochemical Activity; Reconstituted Complex	BioGRID
25	8470	9211900,12475393	-	HPRD
25	5591	9312071	Reconstituted Complex	BioGRID
25	5591	9312071	-	HPRD
25	56961	9315092	Two-hybrid	BioGRID
25	56961	9315092	-	HPRD
25	55824	9334312	Affinity Capture-Western; Two-hybrid	BioGRID
25	55824	9334312	-	HPRD
25	2885	9407116	Affinity Capture-Western	BioGRID
25	2885	9516488	-	HPRD
25	3055	9407116	Affinity Capture-Western	BioGRID
25	3055	9407116	-	HPRD
25	5989	9583676	Affinity Capture-Western; Reconstituted Complex	BioGRID
25	5989	9583676	-	HPRD
25	6708	9593709	Affinity Capture-Western; Reconstituted Complex	BioGRID
25	6709	9593709	Reconstituted Complex; Two-hybrid	BioGRID
25	6764	9632734	Reconstituted Complex	BioGRID
25	6764	9632734	-	HPRD
25	3716	9774693	Reconstituted Complex	BioGRID
25	3716	12130510	-	HPRD
25	2547	9798959	Affinity Capture-Western	BioGRID
25	2547	9798959	-	HPRD
25	6549	10187839	Reconstituted Complex	BioGRID
25	6549	10187839	-	HPRD
25	3636	10194451	Affinity Capture-Western	BioGRID
25	3636	10194451	-	HPRD
25	5888	10212258	Affinity Capture-Western; Reconstituted Complex	BioGRID
25	7161	10391250,10391251	Affinity Capture-Western; Reconstituted Complex	BioGRID
25	7161	10391250,10391251	-	HPRD
25	7275	10455176	Biochemical Activity	BioGRID
25	7275	10455176	-	HPRD
25	545	10608806	Protein-peptide	BioGRID
25	7157	10629029	Reconstituted Complex	BioGRID
25	7157	10629029,10713716	-	HPRD
25	4914	10679771,10708759	Affinity Capture-Western; Reconstituted Complex; Two-hybrid	BioGRID
25	4914	10679771,10708759	-	HPRD
25	5335	10708759	Reconstituted Complex	BioGRID
25	5335	1383690	c-Abl interacts with PLC-gamma1. This interaction was modeled on a demonstrated interaction between human c-Abl and bovine PLCgamma1.	BIND
25	2475	10753870	Affinity Capture-Western	BioGRID
25	51466	10945997	Reconstituted Complex	BioGRID
25	51466	10945997	-	HPRD
25	5062	11121037	Affinity Capture-Western; Biochemical Activity	BioGRID
25	5062	11121037	-	HPRD
25	9051	11163214	Affinity Capture-Western; Reconstituted Complex; Two-hybrid	BioGRID
25	9051	11163214	-	HPRD
25	10580	11374898	Affinity Capture-Western	BioGRID
25	10580	11374898	-	HPRD
25	7013	11375976	Affinity Capture-Western	BioGRID
25	5901	11420673	Affinity Capture-Western	BioGRID
25	5901	11420673	-	HPRD
25	55114	11431473	Reconstituted Complex	BioGRID
25	2048	11494128	in vivo; Two-hybrid	BioGRID
25	2048	11494128	-	HPRD
25	4690	11494134	Affinity Capture-Western	BioGRID
25	4690	11494134	-	HPRD
25	867	11494134,12475393	Affinity Capture-Western; Biochemical Activity; Far Western	BioGRID
25	867	12475393	-	HPRD
25	7409	11790798	Affinity Capture-Western; Biochemical Activity; Reconstituted Complex; Two-hybrid	BioGRID
25	64780	11827972	Reconstituted Complex	BioGRID
25	81928	11955625	Affinity Capture-Western	BioGRID
25	81928	11955625	-	HPRD
25	5883	11971963	Affinity Capture-Western; Biochemical Activity; Reconstituted Complex	BioGRID
25	5883	11971963	-	HPRD
25	84287	12021275	Affinity Capture-Western; Two-hybrid	BioGRID
25	84287	12021275	-	HPRD
25	672	12024016	Affinity Capture-Western	BioGRID
25	4193	12110584	Affinity Capture-Western; Biochemical Activity; Reconstituted Complex	BioGRID
25	4193	12110584	-	HPRD
25	27	12569093	Affinity Capture-Western; Reconstituted Complex	BioGRID
25	27	12569093	-	HPRD
25	27	1383690	c-Abl interacts with ARG.	BIND
25	25	12654250	Protein-peptide	BioGRID
25	25	1383690	c-Abl 1b interacts with itself in trans via the SH2 domain.	BIND
25	847	12777400	Affinity Capture-Western; Biochemical Activity; Reconstituted Complex	BioGRID
25	2876	12893824	Affinity Capture-Western; Reconstituted Complex	BioGRID
25	2876	12893824	-	HPRD
25	91746	15175272	Affinity Capture-Western; Biochemical Activity	BioGRID
25	91746	15175272	-	HPRD
25	5829	9603926	-	HPRD
25	718	4062888	-	HPRD
25	654817	12681507	c-Abl interacts with p47phox.	BIND
25	1501	11891774	-	HPRD
25	6098	11266449	-	HPRD
25	9610	15886098	ABL1 interacts with and phosphorylates RIN1.	BIND
25	9610	9144171	-	HPRD
25	11183	9949177	-	HPRD
25	23385	12021275	-	HPRD
25	8751	11741929	-	HPRD
25	7530	15696159	c-Abl interacts with 14-3-3-delta.	BIND
25	1398	15696159	c-Abl interacts with Crk. This interaction was modeled on a demonstrated interaction between human c-Abl and Crk from an unspecified species.	BIND
25	5144	10571082	PDE4D4 interacts with Abl. This interaction was modelled on a demonstrated interaction between human PDE4D4 and abl from an unspecified species.	BIND
25	351	11279131	-	HPRD
25	2906	10777567	-	HPRD
25	322	11279131	-	HPRD
25	842	15657060	-	HPRD
25	5893	12379650	-	HPRD
25	6091	10892742	Robo1 interacts with Abl1. This interaction was modelled on a demonstrated interaction between Robo1 from human and Abl1 from Drosophila melanogaster.	BIND
25	6452	8438166	-	HPRD
25	7533	15696159	c-Abl interacts with 14-3-3-eta.	BIND
25	8936	10970852	-	HPRD
25	8936	10970852	WAVE-1 interacts with Abl.	BIND
25	5359	11390389	-	HPRD
25	79930	10567556	-	HPRD
25	274	9356459	-	HPRD
25	5921	1383690	c-Abl interacts with GAP.	BIND
25	6714	1383690	c-Abl interacts with Src. This interaction was modeled on a demonstrated interaction between human c-Abl and v-Src from the Rous Sarcoma virus.	BIND
26	1610	8195119	-	HPRD
26	1785	12419186	-	HPRD
27	8470	9211900	Biochemical Activity; Reconstituted Complex; Two-hybrid	BioGRID
27	8470	9211900	-	HPRD
27	3716	9774693	Affinity Capture-Western	BioGRID
27	847	12777400	Affinity Capture-Western; Biochemical Activity; Reconstituted Complex	BioGRID
27	847	12777400	-	HPRD
27	3055	12748290	-	HPRD
27	9610	15886098	ABL2 interacts with and phosphorylates RIN1.	BIND
27	1398	8875975	-	HPRD
27	1398	15886098	Abl2 phosphorylates CRK. This interaction was modeled on a demonstrated interaction between ABL2 from an unspecified species and human CRK.	BIND
27	2876	12893824	-	HPRD
27	613	1383690	BCR interacts with ARG. This interaction was modeled on a demonstrated interaction between BCR from an unspecified source and human ARG.	BIND
27	27	15735735	ABL2 (Arg) is an autophosphorylating molecule.	BIND
31	672	12360400	Affinity Capture-MS; Affinity Capture-Western	BioGRID
31	672	12360400	BRCA1 interacts with acetyl-CoA carboxylase.	BIND
31	672	12360400	-	HPRD
31	1114	16169070	Two-hybrid	BioGRID
34	34	8823176	-	HPRD
37	37	9599005	Co-purification	BioGRID
37	37	9599005	-	HPRD
38	10289	17353931	Affinity Capture-MS	BioGRID
39	1045	12518221	-	HPRD
40	9311	10842183	Affinity Capture-Western	BioGRID
40	9311	10842183	-	HPRD
40	9399	15471860	Affinity Capture-Western	BioGRID
40	9463	11739374	-	HPRD
40	9463	11802773	PICK1 interacts with BNC1a.	BIND
40	41	9360943	-	HPRD
41	9463	11802773,12578970	Affinity Capture-Western; Two-hybrid	BioGRID
41	9463	11739374,11802773,12578970	-	HPRD
41	9463	11802773	PICK1 interacts with ASIC.	BIND
41	5566	12578970	Biochemical Activity	BioGRID
41	9399	15471860	Affinity Capture-Western	BioGRID
41	41	11512022	-	HPRD
43	1939	7085778	in vivo	BioGRID
43	1939	7085778	-	HPRD
43	351	12427014	Reconstituted Complex	BioGRID
43	351	12427014	-	HPRD
43	1282	12524166	-	HPRD
43	284217	12524166	-	HPRD
43	8292	12609505	-	HPRD
43	145270	11804574	-	HPRD
43	3912	15474030	-	HPRD
47	2932	17353931	Affinity Capture-MS	BioGRID
47	4831	17353931	Affinity Capture-MS	BioGRID
47	5564	17353931	Affinity Capture-MS	BioGRID
47	7030	17353931	Affinity Capture-MS	BioGRID
47	9641	17353931	Affinity Capture-MS	BioGRID
47	9146	19019082	Reconstituted Complex	BioGRID
49	5104	7521127	Reconstituted Complex	BioGRID
49	5104	7521127	-	HPRD
49	7783	11739644	-	HPRD
49	1874	15782160	E2F4 interacts with ACR promoter.	BIND
51	6342	10856712	-	HPRD
52	2048	9499402	Affinity Capture-Western	BioGRID
52	2048	9499402	-	HPRD
52	2047	9499402	Affinity Capture-Western; Reconstituted Complex	BioGRID
52	2047	9499402	-	HPRD
52	3791	10608891	Two-hybrid	BioGRID
52	3791	10608891	-	HPRD
52	7535	11976341	Affinity Capture-Western	BioGRID
52	7535	11976341	-	HPRD
52	1969	12167657	Affinity Capture-Western; Biochemical Activity	BioGRID
52	1969	12167657	-	HPRD
52	1499	12438242	Co-localization	BioGRID
52	1499	12438242	-	HPRD
52	54874	16169070	Two-hybrid	BioGRID
52	55052	16169070	Two-hybrid	BioGRID
52	51460	16189514	Two-hybrid	BioGRID
52	2167	1304913	-	HPRD
52	6709	11971983	-	HPRD
52	3643	1304913	-	HPRD
54	1959	16169070	Two-hybrid	BioGRID
54	54978	16169070	Two-hybrid	BioGRID
54	5601	16169070	Two-hybrid	BioGRID
54	6118	16169070	Two-hybrid	BioGRID
54	8743	16169070	Two-hybrid	BioGRID
54	9141	16169070	Two-hybrid	BioGRID
54	2239	12009023	-	HPRD
55	55	9804805	Co-crystal Structure	BioGRID
58	1756	1544421	Reconstituted Complex	BioGRID
58	1756	1544421|11259305	-	HPRD
58	1264	2161834	Reconstituted Complex	BioGRID
58	9087	8416954	Reconstituted Complex	BioGRID
58	6624	8999969	Reconstituted Complex	BioGRID
58	6624	8999969	-	HPRD
58	7114	9153421,11812134	Reconstituted Complex	BioGRID
58	7114	11812134	-	HPRD
58	2120	9695962	Co-localization	BioGRID
58	4892	10320340	Reconstituted Complex	BioGRID
58	2934	10583954	Co-crystal Structure	BioGRID
58	2934	10583954	-	HPRD
58	5578	10628374	in vitro	BioGRID
58	5578	10628374	-	HPRD
58	7248	10806479	Co-localization	BioGRID
58	6876	11053353	Co-fractionation	BioGRID
58	6876	11053353	-	HPRD
58	23406	11297527	Reconstituted Complex	BioGRID
58	6709	11441066	Affinity Capture-Western	BioGRID
58	7431	11441066	Affinity Capture-Western	BioGRID
58	10575	11580270	Co-crystal Structure	BioGRID
58	10575	11580270	-	HPRD
58	22948	11580270	Co-crystal Structure	BioGRID
58	22948	11580270	-	HPRD
58	9468	11580270	Co-crystal Structure	BioGRID
58	9468	11580270	-	HPRD
58	10297	11691822	Co-localization	BioGRID
58	5581	11897493	Affinity Capture-MS; Affinity Capture-Western	BioGRID
58	1072	11950878	Affinity Capture-MS	BioGRID
58	1072	11707283	-	HPRD
58	1452	12062430	Affinity Capture-MS	BioGRID
58	8215	12384700	Affinity Capture-Western	BioGRID
58	84687	12417592	Reconstituted Complex	BioGRID
58	85477	12438125	Reconstituted Complex	BioGRID
58	1000	12438242	Affinity Capture-Western	BioGRID
58	2638	12554937	Co-crystal Structure	BioGRID
58	2638	12119014	-	HPRD
58	2885	12577067	Affinity Capture-MS	BioGRID
58	26136	12695497	Affinity Capture-Western	BioGRID
58	51086	12721663	Two-hybrid	BioGRID
58	51086	12721663	-	HPRD
58	23268	14506234	Affinity Capture-MS	BioGRID
58	23268	14506234	-	HPRD
58	142678	14507647	Reconstituted Complex; Two-hybrid	BioGRID
58	23214	14592989	Affinity Capture-MS	BioGRID
58	57787	14594945	Affinity Capture-MS	BioGRID
58	5201	14634002	Reconstituted Complex	BioGRID
58	27252	14668487	Reconstituted Complex	BioGRID
58	27252	14668487	-	HPRD
58	7205	14688263	Co-localization	BioGRID
58	79083	15059972	Affinity Capture-Western	BioGRID
58	221692	15107502	Affinity Capture-Western	BioGRID
58	221692	15107502	-	HPRD
58	5499	15107502	Affinity Capture-Western	BioGRID
58	6198	15149849	Reconstituted Complex	BioGRID
58	7137	12383268	-	HPRD
58	1773	11707283	-	HPRD
58	7094	10581178	-	HPRD
58	7414	7816144	-	HPRD
58	5879	11027608	-	HPRD
58	4632	11707283	-	HPRD
58	7187	11950878	-	HPRD
58	8522	11795944	-	HPRD
58	5216	8413665	-	HPRD
58	2035	11071908	-	HPRD
58	6275	14640694	-	HPRD
58	9026	11889126	-	HPRD
58	26258	12019270	-	HPRD
58	55742	11171322	-	HPRD
58	55860	12857853	-	HPRD
58	84962	12417594	-	HPRD
58	121512	9668039,11429692	-	HPRD
58	165904	15454575	-	HPRD
59	10575	11580270	Co-crystal Structure	BioGRID
59	10575	11580270	-	HPRD
59	22948	11580270	Co-crystal Structure	BioGRID
59	22948	11580270	-	HPRD
59	9468	11580270	Co-crystal Structure	BioGRID
59	9468	11580270	-	HPRD
59	2638	12119014	-	HPRD
59	8717	14743216	-	HPRD
59	1773	11707283	-	HPRD
59	1072	11707283	-	HPRD
59	7114	11812134	-	HPRD
59	4632	11707283	-	HPRD
60	60	9209005,16189514	Affinity Capture-Western; Reconstituted Complex; Two-hybrid	BioGRID
60	60	15361876	Actin interacts with itself to form an F-actin.	BIND
60	6597	9845365	Affinity Capture-Western	BioGRID
60	6597	9845365	-	HPRD
60	6601	9845365	Affinity Capture-Western	BioGRID
60	6605	9845365	Affinity Capture-Western	BioGRID
60	5216	10411937	Reconstituted Complex	BioGRID
60	5216	10411937	-	HPRD
60	4688	11027608	Far Western	BioGRID
60	5879	11027608	Far Western	BioGRID
60	5879	11027608	-	HPRD
60	5880	11027608	Far Western	BioGRID
60	5880	11027608	-	HPRD
60	653361	11027608	Far Western	BioGRID
60	6712	11357136,11461920	Reconstituted Complex	BioGRID
60	10576	11580269	Co-crystal Structure	BioGRID
60	10576	10748209|11580269	-	HPRD
60	22948	11580269	Co-crystal Structure	BioGRID
60	22948	11580269	-	HPRD
60	9468	11580269	Co-crystal Structure	BioGRID
60	54434	11832213	Reconstituted Complex	BioGRID
60	85464	11832213	Reconstituted Complex	BioGRID
60	4609	11839798	Co-purification	BioGRID
60	51762	12639940	Affinity Capture-Western	BioGRID
60	83988	16189514	Affinity Capture-Western	BioGRID
60	1073	16189514	Affinity Capture-Western; Two-hybrid	BioGRID
60	1072	16189514	Two-hybrid	BioGRID
60	11034	16189514	Two-hybrid	BioGRID
60	71	16189514	Two-hybrid	BioGRID
60	2010	12670476	-	HPRD
60	2934	10945978	-	HPRD
60	654817	11027608	-	HPRD
60	5027	11707406	-	HPRD
60	5201	11535601	-	HPRD
60	5337	11373276	-	HPRD
60	5338	11373276	-	HPRD
60	5764	9739080	-	HPRD
60	6709	9209005	-	HPRD
60	7169	9108196	-	HPRD
60	7430	7876308	-	HPRD
60	8655	14760703	-	HPRD
60	70	8913639	-	HPRD
60	10694	10748209	-	HPRD
60	25932	11563969	-	HPRD
60	55333	11673475,11696420	-	HPRD
60	4892	9295142	-	HPRD
60	7170	9108196	-	HPRD
60	4261	15502823	Beta-actin interacts with p-MHC2TA.	BIND
60	2314	9525888	-	HPRD
60	1773	15711563	DNASE1 (DNase I) interacts with ACTB (beta-actin).	BIND
60	10095	11533442,11721045	-	HPRD
60	10529	10470015	-	HPRD
60	26578	15135048	SH3P2 interacts with beta-actin.	BIND
60	29124	15009185	-	HPRD
60	23214	14592989	-	HPRD
60	55257	12963728	-	HPRD
60	54700	15558034	TIF-IA interacts with actin.	BIND
60	84172	15558034	Pol I interacts with actin.	BIND
60	3192	15711563	ACTB (beta-actin) interacts with HNRPU (hnRNP U).	BIND
60	85461	15673434	-	HPRD
60	5217	10600384	-	HPRD
60	131034	12522145	-	HPRD
60	137735	11983702	-	HPRD
60	221184	12522145	-	HPRD
60	8904	12522145	-	HPRD
60	125168	15558034	Actin interacts with rDNA.	BIND
60	2537	15502823	Beta-actin interacts with p-G1P3.	BIND
70	10097	12019562	in vivo	BioGRID
70	10097	12019562	-	HPRD
70	23224	12118075	Reconstituted Complex	BioGRID
70	23224	12118075,12408964	-	HPRD
70	60312	12134071	Reconstituted Complex	BioGRID
70	2638	12452439	in vitro	BioGRID
70	2638	12452439,12554937	-	HPRD
70	51086	12721663	Two-hybrid	BioGRID
70	51086	12721663	-	HPRD
70	22885	15337165	Affinity Capture-Western	BioGRID
70	22885	15337165	-	HPRD
70	3927	9848085	-	HPRD
70	85477	12438125	-	HPRD
70	7454	12029088	-	HPRD
70	2039	12011427	-	HPRD
70	5756	12207032	-	HPRD
70	7430	12271120	-	HPRD
70	7456	12029088	-	HPRD
70	8655	14760703	-	HPRD
70	1756	11997265	-	HPRD
70	81	12042308	-	HPRD
70	1072	12207032	-	HPRD
70	11133	12019562	-	HPRD
70	84687	12270929|12417592	-	HPRD
70	4638	12110694	-	HPRD
70	137735	11983702	-	HPRD
70	23345	12408964	-	HPRD
70	339451	12063253	-	HPRD
70	5339	12136158	-	HPRD
70	5581	11968018	-	HPRD
70	283	8127865	-	HPRD
70	6624	12139639	-	HPRD
70	823	12358155	CAPN1 interacts with ACTC.	BIND
70	142678	14507647	-	HPRD
71	7114	8617195,15163409	Co-crystal Structure; Reconstituted Complex	BioGRID
71	7114	8617195,8630056,9153421,10848969,15163409	-	HPRD
71	10486	8761950	Affinity Capture-Western	BioGRID
71	10486	8761950	-	HPRD
71	10487	8761950	Affinity Capture-Western; Two-hybrid	BioGRID
71	999	9535896	Affinity Capture-Western	BioGRID
71	4192	10772929	Affinity Capture-MS	BioGRID
71	10134	10958671	Affinity Capture-Western	BioGRID
71	10134	10958671	-	HPRD
71	9978	12481031	Affinity Capture-MS	BioGRID
71	1500	12835311	Affinity Capture-Western	BioGRID
71	9638	12874605	Affinity Capture-Western	BioGRID
71	54869	14565974	Affinity Capture-Western	BioGRID
71	64787	14565974	Affinity Capture-Western	BioGRID
71	79574	14565974	Affinity Capture-Western	BioGRID
71	29109	14576350	Affinity Capture-Western	BioGRID
71	11098	16169070	Two-hybrid	BioGRID
71	3692	16169070	Two-hybrid	BioGRID
71	5217	16169070	Two-hybrid	BioGRID
71	6456	16169070	Two-hybrid	BioGRID
71	6487	16169070	Two-hybrid	BioGRID
71	1073	16189514	Affinity Capture-Western; Two-hybrid	BioGRID
71	1072	16189514	Two-hybrid	BioGRID
71	11034	16189514	Two-hybrid	BioGRID
71	11034	8399167	-	HPRD
71	71	16189514	Two-hybrid	BioGRID
71	85477	1331119	-	HPRD
71	55607	9362513,12052877	-	HPRD
71	8655	14760703	-	HPRD
71	5340	15746964	PLG interacts with ACTG1 (G-actin). This interaction was modelled on a demonstrated interaction between human PLG and bovine ACTG1.	BIND
71	308	10903505	-	HPRD
71	8717	14743216	-	HPRD
71	8936	10970852	WAVE-1 interacts with G-actin. This interaction was modeled on a demonstrated interaction between human WAVE-1 and rat G-actin.	BIND
71	1773	11474115	-	HPRD
71	4640	11474115	-	HPRD
71	29124	15009185	-	HPRD
71	93661	12029070	-	HPRD
71	6885	14743216	-	HPRD
72	2010	12670476	Affinity Capture-Western; Reconstituted Complex	BioGRID
81	10612	10673389	Affinity Capture-Western; Two-hybrid	BioGRID
81	10612	10673389	-	HPRD
81	9124	10753915,16189514	Reconstituted Complex; Two-hybrid	BioGRID
81	9124	10753915	-	HPRD
81	9124	10753915	CLP-36 interacts with alpha-actinin 4.	BIND
81	815	11160423	Two-hybrid	BioGRID
81	815	11160423	CAMK2A (CaMKII-alpha) interacts with ACTN4 (alpha-Actinin 4).	BIND
81	816	11160423	Two-hybrid	BioGRID
81	816	11160423	CAMK2B (CaMKII-beta) interacts with ACTN4 (alpha-Actinin 4).	BIND
81	2934	11733011	Reconstituted Complex	BioGRID
81	2934	11733011	-	HPRD
81	1308	11739652	Affinity Capture-Western; Two-hybrid	BioGRID
81	1308	11739652	-	HPRD
81	9351	11948184	Affinity Capture-Western; Reconstituted Complex	BioGRID
81	9351	11948184	-	HPRD
81	9223	12042308	Affinity Capture-Western; Reconstituted Complex	BioGRID
81	9223	12042308	-	HPRD
81	9712	15152255	Affinity Capture-Western	BioGRID
81	9712	15152255	-	HPRD
81	51778	16189514	Two-hybrid	BioGRID
81	58529	16189514	Two-hybrid	BioGRID
81	4843	12960352	-	HPRD
81	525	10915794	-	HPRD
81	3688	2116421	-	HPRD
81	818	11160423	-	HPRD
81	4703	11882289	-	HPRD
81	57554	11160423	-	HPRD
81	57554	11160423	LRRC7 (Densin-180) interacts with ACTN4 (alpha-Actinin 4). This interaction was modeled on a demonstrated interaction between rat LRCC7 and human ACTN4.	BIND
86	6595	8895581,11839798,12437990	Affinity Capture-Western; Co-fractionation; Co-purification	BioGRID
86	6595	12437990	-	HPRD
86	6597	8895581,9845365	Affinity Capture-Western; Co-purification	BioGRID
86	6597	9845365	-	HPRD
86	6598	8895581	Co-purification	BioGRID
86	6605	9845365	Affinity Capture-Western	BioGRID
86	57634	11509179	Affinity Capture-MS	BioGRID
86	3621	11784859	Affinity Capture-MS	BioGRID
86	8295	11839798	Affinity Capture-Western; Co-fractionation	BioGRID
86	8295	11839798	-	HPRD
86	8607	11839798	Affinity Capture-Western; Co-fractionation	BioGRID
86	8607	11839798	-	HPRD
86	4609	11839798	Affinity Capture-Western; Co-purification	BioGRID
86	4609	11839798	-	HPRD
86	10524	11839798	Co-fractionation	BioGRID
86	2648	11839798	Co-fractionation	BioGRID
86	9031	12837248	Affinity Capture-MS	BioGRID
86	9031	12837248	-	HPRD
86	5971	14743216	Affinity Capture-MS	BioGRID
86	5971	14743216	-	HPRD
86	396	16169070	Two-hybrid	BioGRID
86	2130	16189514	Two-hybrid	BioGRID
86	5430	9710619	-	HPRD
86	55257	12963728	-	HPRD
87	3688	2116421	Reconstituted Complex	BioGRID
87	1495	7790378	Affinity Capture-Western	BioGRID
87	1495	7790378	-	HPRD
87	999	9535896	Affinity Capture-Western	BioGRID
87	10755	10198040	Affinity Capture-Western; Reconstituted Complex	BioGRID
87	7791	10224105,11423549	Reconstituted Complex; Two-hybrid	BioGRID
87	7791	10224105,11423549	-	HPRD
87	9124	10753915,11110697	Affinity Capture-Western; Reconstituted Complex; Two-hybrid	BioGRID
87	9124	10753915	CLP-36 interacts with alpha-actinin 1. This interaction was modeled on a demonstrated interaction between human CLP-36 and chicken alpha-actinin 1.	BIND
87	9124	11110697	-	HPRD
87	7273	11305911	Reconstituted Complex	BioGRID
87	7273	11305911,11846417	-	HPRD
87	87	11470434	Co-crystal Structure	BioGRID
87	87	11470434	-	HPRD
87	1308	11739652	Affinity Capture-Western; Two-hybrid	BioGRID
87	1308	11739652	-	HPRD
