ann.probe	fdf.pCsc	fdf.EscCsc	g.id.num	out.gid	g.sym	g.chr	g.omim	n.ann.tsp	g.name	v.pb.csc	set.a.pb	lv_set.a	nov_set.a	lv_csc_nSetA	g.lv7.ALL	g.lv6.csc.Esc	g.lv5.p.csc	g.lv3.csc	tcnd	cor.mean.csc	cor.mean.p	cor.mean.Esc
229336_at	-0.656927467	-0.945818277	1	6483	ST3GAL2	chr16q22.1	607188	4	"ST3 beta-galactoside alpha-2,3-sialyltransferase 2"	0	1	0	1	0	0	0	0	0	com	0.274575016	0.258868402	0.354108374
224984_at	0.615009241	1.351031642	1	10725	NFAT5	chr16q22.1	604708	9	"nuclear factor of activated T-cells 5, tonicity-responsive"	0	1	0	1	0	0	0	0	0	com	0.259430308	0.327075961	0.466804025
208678_at	0.817427581	1.051455825	1	529	ATP6V1E1	chr22pter-q11.2|22q11.1	108746	8	"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1"	0	1	0	1	0	0	0	0	0	com	0.230542494	0.266811761	0.32183478
208737_at	0.762431887	0.286929612	1	9550	ATP6V1G1	chr9q32	607296	1	"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1"	0	1	0	1	0	0	0	0	0	gbm	0.154486652	0.253022861	0.277507556
212254_s_at	0.149846091	0.257542203	1	667	DST	chr6p12.1	113810	11	dystonin	0	1	0	1	0	0	0	0	0	gbm	0.265470242	0.34211463	0.442084499
219540_at	0.570711198	-0.445334187	1	10308	ZNF267	chr16p11.2	604752	3	zinc finger protein 267	0	1	0	1	0	0	0	0	0	gbm	0.17551062	0.31830424	0.406131307
201517_at	0.454271124	-0.175710368	1	22916	NCBP2	chr3q29	605133	7	"nuclear cap binding protein subunit 2, 20kDa"	0	1	0	1	0	0	0	0	0	gbm	0.24227414	0.291514801	0.308293461
209580_s_at	0.021897086	0.518836071	1	8930	MBD4	chr3q21-q22	603574	8	methyl-CpG binding domain protein 4	0	1	0	1	0	0	0	0	0	gbm	0.235455961	0.291123524	0.39365509
203345_s_at	0.634521185	-1.233820873	1	22823	MTF2	chr1p22.1	609882	10	metal response element binding transcription factor 2	0	1	1	0	0	0	0	0	0	gbm	0.234895264	0.271459984	0.342303364
207035_at	-0.064355945	-0.885488219	1	7781	SLC30A3	chr2p23.3	602878	6	"solute carrier family 30 (zinc transporter), member 3"	0	1	0	1	0	0	0	0	0	gbm	0.268913457	0.345398827	0.378387459
235879_at	0.306893118	1.452089166	1	4154	MBNL1	chr3q25	606516	6	MBNL protein	0	1	0	1	0	0	0	0	0	gbm	0.214628364	0.321837622	0.35504452
203346_s_at	0.732162913	-0.897080323	1	22823	MTF2	chr1p22.1	609882	12	metal response element binding transcription factor 2	0	1	1	0	0	0	0	0	0	gbm	0.2295209	0.277176007	0.305028756
226979_at	0.538391401	1.498570471	1	10746	MAP3K2	chr2q14.3	609487	3	mitogen-activated protein kinase kinase kinase 2	1	1	1	0	0	0	0	0	1	gbm	0.243281997	0.345903822	0.42378044
204369_at	0.398487165	1.221668147	1	5290	PIK3CA	chr3q26.3	114480 /// 114500 /// 114550 /// 137215 /// 162900 /// 171834 /// 182000 /// 211980 /// 604370	7	"phosphoinositide-3-kinase, catalytic, alpha polypeptide"	0	1	0	1	0	0	0	0	0	gbm	0.236759696	0.338042321	0.376884821
204053_x_at	0.165576117	-0.223644118	1	5728	PTEN	chr10q23.3	137800 /// 153480 /// 158350 /// 174900 /// 176807 /// 176920 /// 188470 /// 276950 /// 601728 /// 605309 /// 607174 /// 612242	7	phosphatase and tensin homolog	0	1	0	1	0	0	0	0	0	gbm	0.269925834	0.230253757	0.387867612
205480_s_at	0.15495877	-1.649154965	1	7360	UGP2	chr2p14-p13	191760	10	UDP-glucose pyrophosphorylase 2	0	1	1	0	0	0	0	0	0	gbm	0.230979489	0.307314013	0.353569285
202379_s_at	0.789053015	0.568450147	1	4820	NKTR	chr3p23-p21	161565	10	natural killer-tumor recognition sequence	0	1	0	1	0	0	0	0	0	gbm	0.256388579	0.334116897	0.277043583
1555460_a_at	0.267703915	1.298151128	1	25800	SLC39A6	chr18q12.2	608731	7	"solute carrier family 39 (zinc transporter), member 6"	0	1	0	1	0	0	0	0	0	gbm	0.204110693	0.203746154	0.223400592
1554890_a_at	0.431964955	0.422821814	1	7072	TIA1	chr2p13	603518	7	TIA1 cytotoxic granule-associated RNA binding protein	0	1	0	1	0	0	0	0	0	gbm	0.192829046	0.278954394	0.341944024
212468_at	0.394800926	1.367992685	1	9043	SPAG9	chr17q21.33	605430	2	sperm associated antigen 9	0	1	0	1	0	0	0	0	0	gbm	0.177276922	0.296741209	0.426742579
215338_s_at	0.600030554	0.729033187	1	4820	NKTR	chr3p23-p21	161565	8	natural killer-tumor recognition sequence	0	1	0	1	0	0	0	0	0	gbm	0.26059388	0.329141131	0.36803478
224229_s_at	1.105690039	1.381058392	1	10000	AKT3	chr1q43-q44	611223	14	"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"	0	1	0	1	0	0	0	0	0	gbm	0.209434599	0.22153198	0.244648541
229419_at	0.526412669	-0.227451554	1	55294	FBXW7	chr4q31.3	606278	8	F-box and WD repeat domain containing 7	0	1	0	1	0	0	0	0	0	gbm	0.184691487	0.34107352	0.408275925
220198_s_at	0.668255916	1.429121777	1	56648	EIF5A2	chr3q26.2	605782	6	eukaryotic translation initiation factor 5A2	0	1	1	0	0	0	0	0	0	gbm	0.249918137	0.214690549	0.16551885
217893_s_at	0.474313765	-1.388691707	1	79647	AKIRIN1	chr1p34.3	---	3	akirin 1	0	1	1	0	0	0	0	0	0	gbm	0.212647035	0.256784702	0.334212078
217863_at	0.38979158	0.447352594	1	8554	PIAS1	chr15q	603566	11	"protein inhibitor of activated STAT, 1"	0	1	0	1	0	0	0	0	0	gbm	0.205316625	0.328760437	0.453850878
219571_s_at	0.314434529	0.936356875	1	7559	ZNF12	chr7p22.1	194536	11	zinc finger protein 12	0	1	0	1	0	0	0	0	0	gbm	0.207771664	0.334106445	0.451931013
204041_at	-0.332001138	-0.003913431	1	4129	MAOB	chrXp11.23	309860	5	monoamine oxidase B	0	1	0	1	0	0	0	0	0	gbm	0.235531415	0.195342933	0.288746684
1554021_a_at	0.354327935	0.918429667	1	7559	ZNF12	chr7p22.1	194536	11	zinc finger protein 12	0	1	0	1	0	0	0	0	0	gbm	0.206483661	0.330574948	0.449699062
225352_at	0.253094746	1.580428961	1	7095	SEC62	chr3q26.2	602173	2	SEC62 homolog (S. cerevisiae)	1	1	1	0	0	0	0	0	1	gbm	0.243524634	0.329849196	0.455459976
218158_s_at	0.253660145	0.567945003	1	26060	APPL1	chr3p21.1-p14.3	604299	3	"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1"	0	1	0	1	0	0	0	0	0	gbm	0.267148109	0.3438949	0.482842602
218236_s_at	0.47727452	0.71270756	1	23683	PRKD3	chr2p21	607077	4	protein kinase D3	0	1	0	1	0	0	0	0	0	gbm	0.25366815	0.34828627	0.471871389
233080_s_at	0.76104868	-0.065197295	1	55660	PRPF40A	chr2q23.3	---	4	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)	0	1	0	1	0	0	0	0	0	gbm	0.231225509	0.350103939	0.371617406
214047_s_at	0.051145642	0.30513145	1	8930	MBD4	chr3q21-q22	603574	7	methyl-CpG binding domain protein 4	0	1	0	1	0	0	0	0	0	gbm	0.232591129	0.282445258	0.413810194
201637_s_at	0.675530995	-0.142042901	1	8087	FXR1	chr3q28	600819	8	"fragile X mental retardation, autosomal homolog 1"	0	1	0	1	0	0	0	0	0	gbm	0.20114268	0.307804478	0.439016871
213435_at	0.722386125	0.717078385	1	23314	SATB2	chr2q33	119540 /// 608148	4	SATB homeobox 2	0	1	0	1	0	0	0	0	0	gbm	0.255753244	0.281135174	0.208831632
213729_at	0.79667967	0.062024133	1	55660	PRPF40A	chr2q23.3	---	6	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)	0	1	0	1	0	0	0	0	0	gbm	0.24367151	0.312437998	0.335945869
209579_s_at	0.123005642	0.239547464	1	8930	MBD4	chr3q21-q22	603574	8	methyl-CpG binding domain protein 4	0	1	0	1	0	0	0	0	0	gbm	0.225631458	0.250662886	0.381482246
60471_at	-0.071944473	1.263140598	1	79890	RIN3	chr14q32.12	610223	4	Ras and Rab interactor 3	0	1	1	0	0	0	0	0	0	gbm	0.215423882	0.256644906	0.265116148
235296_at	0.608694805	1.755992929	1	56648	EIF5A2	chr3q26.2	605782	5	eukaryotic translation initiation factor 5A2	0	1	1	0	0	0	0	0	0	gbm	0.242366006	0.245242736	0.389309869
205062_x_at	0.460263731	1.263087849	1	5926	ARID4A	chr14q23.1	180201	5	AT rich interactive domain 4A (RBP1-like)	1	1	1	0	0	0	0	0	1	gbm	0.234134888	0.312387092	0.395846948
221829_s_at	0.813633867	0.159343148	1	3842	TNPO1	chr5q13.2	602901	7	transportin 1	0	1	0	1	0	0	0	0	0	gbm	0.207912733	0.308716834	0.296741289
202089_s_at	0.324861486	1.224976614	1	25800	SLC39A6	chr18q12.2	608731	6	"solute carrier family 39 (zinc transporter), member 6"	0	1	0	1	0	0	0	0	0	gbm	0.211133033	0.208776895	0.369147208
222565_s_at	0.438033355	0.522207246	1	23683	PRKD3	chr2p21	607077	4	protein kinase D3	0	1	0	1	0	0	0	0	0	gbm	0.243193514	0.317236516	0.452774521
239897_at	0.468282315	-0.074945166	1	9774	BCLAF1	chr6q22-q23	---	3	BCL2-associated transcription factor 1	0	1	0	1	0	0	0	0	0	gbm	0.213848231	0.307229601	0.321864878
203789_s_at	-0.256848279	1.373006699	1	10512	SEMA3C	chr7q21-q31	602645	4	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"	0	1	1	0	0	0	0	0	0	gbm	0.241248527	0.210853827	0.293542234
226538_at	0.285954864	-0.53228412	1	4124	MAN2A1	chr5q21-q22	154582	1	"mannosidase, alpha, class 2A, member 1"	0	1	0	1	0	0	0	0	0	gbm	0.26590932	0.343566281	0.464221426
204286_s_at	0.817794845	-0.088689601	1	5366	PMAIP1	chr18q21.32	604959	4	phorbol-12-myristate-13-acetate-induced protein 1	0	1	0	1	0	0	0	0	0	gbm	0.238771244	0.318772678	0.475022543
214553_s_at	0.112443073	0.595279425	1	10776	ARPP-19	chr15q21.2	605487	8	"cyclic AMP phosphoprotein, 19 kD"	0	1	0	1	0	0	0	0	0	gbm	0.236217108	0.229502973	0.289134355
212542_s_at	0.696683881	-0.221886482	1	55023	PHIP	chr6q14	---	6	pleckstrin homology domain interacting protein	0	1	0	1	0	0	0	0	0	gbm	0.232368709	0.34711446	0.407284809
1567214_a_at	0.510236318	0.277559334	1	5411	PNN	chr14q21.1	603154	8	"pinin, desmosome associated protein"	0	1	0	1	0	0	0	0	0	gbm	0.222413018	0.320863304	0.478013135
201446_s_at	0.274584522	0.040901272	1	7072	TIA1	chr2p13	603518	6	TIA1 cytotoxic granule-associated RNA binding protein	0	1	0	1	0	0	0	0	0	gbm	0.259555624	0.326626411	0.45677012
213026_at	0.305934158	0.650669121	1	9140	ATG12	chr5q21-q22	609608	4	ATG12 autophagy related 12 homolog (S. cerevisiae)	0	1	0	1	0	0	0	0	0	gbm	0.193905367	0.322452524	0.479507541
214820_at	0.272565952	-0.526006531	1	54014	BRWD1	chr21q22.2	---	1	bromodomain and WD repeat domain containing 1	0	1	0	1	0	0	0	0	0	gbm	0.188547067	0.256806544	0.395022613
1558675_s_at	0.469850205	0.970486097	1	9147	SDCCAG1	chr14q22	608378	5	serologically defined colon cancer antigen 1	0	1	0	1	0	0	0	0	0	gbm	0.233757736	0.319895766	0.425488135
228129_at	0.437852078	-0.031678114	1	26135	SERBP1	chr1p31	607378	5	SERPINE1 mRNA binding protein 1	0	1	0	1	0	0	0	0	0	gbm	0.248343103	0.329322431	0.45646841
235170_at	0.505971387	-0.474677523	1	168374	ZNF92	chr7q11.21	603974	6	zinc finger protein 92	0	1	0	1	0	0	0	0	0	gbm	0.218329882	0.341330886	0.450999271
219889_at	-0.305356318	-0.837652681	1	10023	FRAT1	chr10q24.1	602503	2	frequently rearranged in advanced T-cell lymphomas	0	1	0	1	0	0	0	0	0	gbm	0.239762516	0.221263937	0.363595348
212607_at	1.07708365	0.878401449	1	10000	AKT3	chr1q43-q44	611223	2	"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"	0	1	0	1	0	0	0	0	0	gbm	0.200279889	0.274836268	0.316694868
222880_at	0.953021897	1.466020705	1	10000	AKT3	chr1q43-q44	611223	4	"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"	0	1	1	0	0	0	0	0	0	gbm	0.19386048	0.277216068	0.167535546
217862_at	0.613541415	0.466053495	1	8554	PIAS1	chr15q	603566	11	"protein inhibitor of activated STAT, 1"	0	1	0	1	0	0	0	0	0	gbm	0.211747678	0.332950696	0.39262567
217941_s_at	0.294287101	1.503254431	1	55914	ERBB2IP	chr5q12.3	606944	9	erbb2 interacting protein	1	1	1	0	0	0	0	0	1	gbm	0.243394487	0.359756619	0.429413691
208901_s_at	0.466026097	0.809281579	1	7150	TOP1	chr20q12-q13.1	126420	3	topoisomerase (DNA) I	0	1	0	1	0	0	0	0	0	gbm	0.251662626	0.250737662	0.42160879
222473_s_at	0.440597075	1.660994772	1	55914	ERBB2IP	chr5q12.3	606944	9	erbb2 interacting protein	1	1	1	0	0	0	0	0	1	gbm	0.248897769	0.353316104	0.409307065
201138_s_at	0.430464075	-0.403988672	1	6741	SSB	chr2q31.1	109090	8	Sjogren syndrome antigen B (autoantigen La)	0	1	0	1	0	0	0	0	0	gbm	0.253266203	0.310838038	0.228292857
221483_s_at	-0.102491888	0.4043316	1	10776	ARPP-19	chr15q21.2	605487	5	"cyclic AMP phosphoprotein, 19 kD"	0	1	0	1	0	0	0	0	0	gbm	0.228725157	0.25322131	0.466099885
202467_s_at	0.591898313	0.56015954	1	9318	COPS2	chr15q21.2	604508	8	COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)	0	1	0	1	0	0	0	0	0	gbm	0.221152002	0.33696641	0.427827175
210962_s_at	0.387768422	1.124285571	1	10142	AKAP9	chr7q21-q22	604001 /// 611820	8	A kinase (PRKA) anchor protein (yotiao) 9	1	1	1	0	0	0	0	0	1	gbm	0.214391313	0.333418773	0.455047675
237276_at	-0.506477889	-0.899469109	1	4678	NASP	chr1p34.1	603185	1	"Nuclear autoantigenic sperm protein (histone-binding) (NASP), transcript variant 1, mRNA"	0	1	0	1	0	0	0	0	0	gbm	0.19872444	0.285933509	0.236078745
219280_at	0.488910797	-0.270160022	1	54014	BRWD1	chr21q22.2	---	8	bromodomain and WD repeat domain containing 1	0	1	0	1	0	0	0	0	0	gbm	0.194039994	0.288953017	0.395085984
1554105_at	0.057471682	0.756163612	1	84548	TMEM185A	chrXq28	300483	5	transmembrane protein 185A	0	1	0	1	0	0	0	0	0	gbm	0.225482457	0.261975285	0.365651536
227428_at	0.64539148	0.535280535	1	2551	GABPA	chr21q21-q22.1|21q21.3	600609	3	"GA binding protein transcription factor, alpha subunit 60kDa"	0	1	0	1	0	0	0	0	0	gbm	0.244174485	0.360516051	0.449600099
206377_at	0.477000672	1.445497549	1	2295	FOXF2	chr6p25.3	603250	3	forkhead box F2	0	1	1	0	0	0	0	0	0	gbm	0.255892963	0.220434596	0.414090366
216305_s_at	0.745567369	1.126423717	1	6936	C2orf3	chr2p11.2-p11.1	189901	7	chromosome 2 open reading frame 3	0	1	0	1	0	0	0	0	0	gbm	0.245468225	0.246380149	0.386102984
208405_s_at	0.259739155	1.120405218	1	8763	CD164	chr6q21	603356	11	"CD164 molecule, sialomucin"	0	1	0	1	0	0	0	0	0	gbm	0.226683611	0.32920211	0.400884111
201143_s_at	0.398011502	1.664455318	1	1965	EIF2S1	chr14q23.3	603907	3	"eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa"	1	1	1	0	0	0	0	0	1	gbm	0.196379364	0.265460995	0.383099515
223784_at	0.733703474	0.056526708	1	57393	TMEM27	chrXp22	300631	7	transmembrane protein 27	0	1	0	1	0	0	0	0	0	gbm	0.266319413	0.295371941	0.309826028
1554433_a_at	0.520873474	0.704553781	1	7705	ZNF146	chr19q13.1	601505	5	zinc finger protein 146	0	1	0	1	0	0	0	0	0	gbm	0.232798458	0.297209675	0.337189864
218520_at	0.463413731	0.904698663	1	29110	TBK1	chr12q14.1	604834	4	TANK-binding kinase 1	0	1	0	1	0	0	0	0	0	gbm	0.236884476	0.333522888	0.392495991
217739_s_at	0.527486174	1.37056421	1	10135	NAMPT	chr7q22.2	608764	3	nicotinamide phosphoribosyltransferase	0	1	0	1	0	0	0	0	0	gbm	0.284257753	0.264930666	0.475412657
201012_at	-0.001950446	0.7934197	1	301	ANXA1	chr9q12-q21.2|9q12-q21.2	151690	12	annexin A1	0	1	0	1	0	0	0	0	0	gbm	0.26645377	0.243462327	0.332513353
234192_s_at	0.300760505	0.189007023	1	80318	GKAP1	chr9q21.32	611356	9	G kinase anchoring protein 1	0	1	0	1	0	0	0	0	0	gbm	0.23088048	0.247356907	0.386971815
217492_s_at	0.165891259	-0.175943288	2	11191   5728	PTEN /// PTENP1	chr10q23.3 /// chr9p21	137800 /// 153480 /// 158350 /// 174900 /// 176807 /// 176920 /// 188470 /// 276950 /// 601728 /// 605309 /// 607174 /// 612242	8	phosphatase and tensin homolog /// phosphatase and tensin homolog pseudogene 1	0	1	0	1	0	0	0	0	0	gbm	0.274052	0.231888957	0.385217305
32088_at	0.361207571	1.125020714	1	8548	BLZF1	chr1q24	608692	2	basic leucine zipper nuclear factor 1	0	1	0	1	0	0	0	0	0	gbm	0.223781156	0.244931211	0.399435952
212322_at	-1.019046435	0.014083616	1	8879	SGPL1	chr10q21	603729	4	sphingosine-1-phosphate lyase 1	0	1	0	1	0	0	0	0	0	gbm	0.210483514	0.251129269	0.300376185
201839_s_at	-0.218041699	-0.992837162	1	4072	EPCAM	chr2p21	185535	10	epithelial cell adhesion molecule	0	1	1	0	0	0	0	0	0	gbm	0.299871763	0.277116734	0.471066063
224761_at	0.24768977	-0.550944349	1	10672	GNA13	chr17q24.3	604406	3	"guanine nucleotide binding protein (G protein), alpha 13"	0	1	0	1	0	0	0	0	0	gbm	0.212981541	0.297555942	0.372319038
217945_at	0.252585873	0.965278937	1	53339	BTBD1	chr15q24	608530	1	BTB (POZ) domain containing 1	0	1	0	1	0	0	0	0	0	gbm	0.212114747	0.335416424	0.458291518
212036_s_at	0.638407799	0.060708174	1	5411	PNN	chr14q21.1	603154	8	"pinin, desmosome associated protein"	0	1	0	1	0	0	0	0	0	gbm	0.236080138	0.318111057	0.461852829
206158_s_at	0.704782374	0.295962967	1	7555	CNBP	chr3q21	116955 /// 602668	14	"CCHC-type zinc finger, nucleic acid binding protein"	0	1	0	1	0	0	0	0	0	gbm	0.269741207	0.277880105	0.394463964
201450_s_at	0.244774127	0.165638631	1	7072	TIA1	chr2p13	603518	6	TIA1 cytotoxic granule-associated RNA binding protein	0	1	0	1	0	0	0	0	0	gbm	0.275444006	0.340299691	0.480163967
220443_s_at	-0.344289097	0.862068675	1	25806	VAX2	chr2p13	604295	4	ventral anterior homeobox 2	0	1	0	1	0	0	0	0	0	gbm	0.190162533	0.275717902	0.283537766
1554241_at	0.684059753	0.233197969	1	1690	COCH	chr14q12-q13	601369 /// 603196	1	"coagulation factor C homolog, cochlin (Limulus polyphemus)"	0	1	0	1	0	0	0	0	0	gbm	0.230004784	0.283603748	0.174019991
227771_at	1.059822886	0.412689069	1	3977	LIFR	chr5p13-p12	151443 /// 601559	3	leukemia inhibitory factor receptor alpha	0	1	0	1	0	0	0	0	0	gbm	0.206457246	0.246270964	0.261001808
1554992_at	-0.411326279	-0.583609973	1	5923	RASGRF1	chr15q24	606600	1	Ras protein-specific guanine nucleotide-releasing factor 1	0	1	0	1	0	0	0	0	0	gbm	0.253345711	0.328524366	0.233155892
201636_at	0.691955572	-0.096828017	1	8087	FXR1	chr3q28	600819	8	"fragile X mental retardation, autosomal homolog 1"	0	1	0	1	0	0	0	0	0	gbm	0.253657182	0.336243195	0.403411417
226106_at	0.261869082	0.629119294	1	50862	RNF141	chr11p15.4	---	3	ring finger protein 141	0	1	0	1	0	0	0	0	0	gbm	0.186292865	0.327780556	0.482050407
209901_x_at	-0.469628315	-1.139579304	1	199	AIF1	chr6p21.3	601833	9	allograft inflammatory factor 1	1	1	1	0	0	0	0	0	1	gbm	0.192978114	0.258508743	0.235927389
223250_at	0.210102313	-0.585211731	1	55975	KLHL7	chr7p15.3	611119	6	kelch-like 7 (Drosophila)	0	1	0	1	0	0	0	0	0	gbm	0.251101648	0.285547129	0.398287202
201236_s_at	0.031756844	0.603657545	1	7832	BTG2	chr1q32	601597	4	"BTG family, member 2"	0	1	0	1	0	0	0	0	0	atrt	0.20485551	0.207743178	0.219144607
