gnr.pb	gnr.id	gnr.sym	gnr.chr	l.cnt	l.type.cnt	l.cond.cnt	or	lung	gbm	atrt	br	cn	snail	sf	gnr.name
1552519_at	130399	ACVR1C	chr2q24.1	2	1	1	0	0	0	1	0	0	0	1	activin A receptor, type IC
202240_at	5347	PLK1	chr16p12.1	2	1	1	0	0	0	1	0	0	0	1	polo-like kinase 1 (Drosophila)
214099_s_at	9659	PDE4DIP	chr1q12	2	1	1	0	0	0	1	0	0	0	1	phosphodiesterase 4D interacting protein
222857_s_at	27345	KCNMB4	chr12q	2	1	1	0	0	0	0	1	0	1	0	potassium large conductance calcium-activated channel, subfamily M, beta member 4
204766_s_at	4521	NUDT1	chr7p22	2	1	1	0	0	0	0	1	0	0	1	nudix (nucleoside diphosphate linked moiety X)-type motif 1
226858_at	1454	CSNK1E	chr22q13.1	2	2	0	0	0	0	0	1	1	0	0	casein kinase 1, epsilon
224454_at	55500	ETNK1	chr12p12.1	2	2	0	0	0	0	0	1	1	0	0	ethanolamine kinase 1
201577_at	4830   4831	NME1 /// NME2	chr17q21.3	2	1	1	0	0	0	0	1	0	0	1	non-metastatic cells 1, protein (NM23A) expressed in /// non-metastatic cells 2, protein (NM23B) expressed in
213599_at	11339	OIP5	chr15q15.1	2	1	1	0	0	0	0	1	0	0	1	Opa interacting protein 5
201611_s_at	23463	ICMT	chr1p36.21	2	1	1	0	0	0	0	0	1	0	1	isoprenylcysteine carboxyl methyltransferase
219076_s_at	5827	PXMP2	chr12q24.33	2	1	1	0	0	0	0	0	1	0	1	peroxisomal membrane protein 2, 22kDa
214331_at	10102	TSFM	chr12q13-q14	2	1	1	0	0	0	0	0	1	0	1	Ts translation elongation factor, mitochondrial
229336_at	6483	ST3GAL2	chr16q22.1	2	1	1	0	0	0	0	0	1	0	1	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
224984_at	10725	NFAT5	chr16q22.1	2	1	1	0	0	0	0	0	1	0	1	nuclear factor of activated T-cells 5, tonicity-responsive
208678_at	529	ATP6V1E1	chr22pter-q11.2|22q11.1	2	1	1	0	0	0	0	0	1	1	0	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1
208737_at	9550	ATP6V1G1	chr9q32	1	1	0	1	0	0	0	0	0	0	0	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1
212254_s_at	667	DST	chr6p12.1	1	1	0	1	0	0	0	0	0	0	0	dystonin
219540_at	10308	ZNF267	chr16p11.2	1	1	0	1	0	0	0	0	0	0	0	zinc finger protein 267
201517_at	22916	NCBP2	chr3q29	1	1	0	1	0	0	0	0	0	0	0	nuclear cap binding protein subunit 2, 20kDa
209580_s_at	8930	MBD4	chr3q21-q22	1	1	0	1	0	0	0	0	0	0	0	methyl-CpG binding domain protein 4
203345_s_at	22823	MTF2	chr1p22.1	1	1	0	1	0	0	0	0	0	0	0	metal response element binding transcription factor 2
207035_at	7781	SLC30A3	chr2p23.3	1	1	0	1	0	0	0	0	0	0	0	solute carrier family 30 (zinc transporter), member 3
235879_at	4154	MBNL1	chr3q25	1	1	0	1	0	0	0	0	0	0	0	MBNL protein
203346_s_at	22823	MTF2	chr1p22.1	1	1	0	1	0	0	0	0	0	0	0	metal response element binding transcription factor 2
226979_at	10746	MAP3K2	chr2q14.3	1	1	0	1	0	0	0	0	0	0	0	mitogen-activated protein kinase kinase kinase 2
204369_at	5290	PIK3CA	chr3q26.3	1	1	0	1	0	0	0	0	0	0	0	phosphoinositide-3-kinase, catalytic, alpha polypeptide
204053_x_at	5728	PTEN	chr10q23.3	1	1	0	1	0	0	0	0	0	0	0	phosphatase and tensin homolog
205480_s_at	7360	UGP2	chr2p14-p13	1	1	0	1	0	0	0	0	0	0	0	UDP-glucose pyrophosphorylase 2
202379_s_at	4820	NKTR	chr3p23-p21	1	1	0	1	0	0	0	0	0	0	0	natural killer-tumor recognition sequence
1555460_a_at	25800	SLC39A6	chr18q12.2	1	1	0	1	0	0	0	0	0	0	0	solute carrier family 39 (zinc transporter), member 6
1554890_a_at	7072	TIA1	chr2p13	1	1	0	1	0	0	0	0	0	0	0	TIA1 cytotoxic granule-associated RNA binding protein
212468_at	9043	SPAG9	chr17q21.33	1	1	0	1	0	0	0	0	0	0	0	sperm associated antigen 9
215338_s_at	4820	NKTR	chr3p23-p21	1	1	0	1	0	0	0	0	0	0	0	natural killer-tumor recognition sequence
224229_s_at	10000	AKT3	chr1q43-q44	1	1	0	1	0	0	0	0	0	0	0	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
229419_at	55294	FBXW7	chr4q31.3	1	1	0	1	0	0	0	0	0	0	0	F-box and WD repeat domain containing 7
220198_s_at	56648	EIF5A2	chr3q26.2	1	1	0	1	0	0	0	0	0	0	0	eukaryotic translation initiation factor 5A2
217893_s_at	79647	AKIRIN1	chr1p34.3	1	1	0	1	0	0	0	0	0	0	0	akirin 1
217863_at	8554	PIAS1	chr15q	1	1	0	1	0	0	0	0	0	0	0	protein inhibitor of activated STAT, 1
219571_s_at	7559	ZNF12	chr7p22.1	1	1	0	1	0	0	0	0	0	0	0	zinc finger protein 12
204041_at	4129	MAOB	chrXp11.23	1	1	0	1	0	0	0	0	0	0	0	monoamine oxidase B
1554021_a_at	7559	ZNF12	chr7p22.1	1	1	0	1	0	0	0	0	0	0	0	zinc finger protein 12
225352_at	7095	SEC62	chr3q26.2	1	1	0	1	0	0	0	0	0	0	0	SEC62 homolog (S. cerevisiae)
218158_s_at	26060	APPL1	chr3p21.1-p14.3	1	1	0	1	0	0	0	0	0	0	0	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1
218236_s_at	23683	PRKD3	chr2p21	1	1	0	1	0	0	0	0	0	0	0	protein kinase D3
233080_s_at	55660	PRPF40A	chr2q23.3	1	1	0	1	0	0	0	0	0	0	0	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)
214047_s_at	8930	MBD4	chr3q21-q22	1	1	0	1	0	0	0	0	0	0	0	methyl-CpG binding domain protein 4
201637_s_at	8087	FXR1	chr3q28	1	1	0	1	0	0	0	0	0	0	0	fragile X mental retardation, autosomal homolog 1
213435_at	23314	SATB2	chr2q33	1	1	0	1	0	0	0	0	0	0	0	SATB homeobox 2
213729_at	55660	PRPF40A	chr2q23.3	1	1	0	1	0	0	0	0	0	0	0	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)
209579_s_at	8930	MBD4	chr3q21-q22	1	1	0	1	0	0	0	0	0	0	0	methyl-CpG binding domain protein 4
60471_at	79890	RIN3	chr14q32.12	1	1	0	1	0	0	0	0	0	0	0	Ras and Rab interactor 3
235296_at	56648	EIF5A2	chr3q26.2	1	1	0	1	0	0	0	0	0	0	0	eukaryotic translation initiation factor 5A2
205062_x_at	5926	ARID4A	chr14q23.1	1	1	0	1	0	0	0	0	0	0	0	AT rich interactive domain 4A (RBP1-like)
221829_s_at	3842	TNPO1	chr5q13.2	1	1	0	1	0	0	0	0	0	0	0	transportin 1
202089_s_at	25800	SLC39A6	chr18q12.2	1	1	0	1	0	0	0	0	0	0	0	solute carrier family 39 (zinc transporter), member 6
222565_s_at	23683	PRKD3	chr2p21	1	1	0	1	0	0	0	0	0	0	0	protein kinase D3
239897_at	9774	BCLAF1	chr6q22-q23	1	1	0	1	0	0	0	0	0	0	0	BCL2-associated transcription factor 1
203789_s_at	10512	SEMA3C	chr7q21-q31	1	1	0	1	0	0	0	0	0	0	0	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
226538_at	4124	MAN2A1	chr5q21-q22	1	1	0	1	0	0	0	0	0	0	0	mannosidase, alpha, class 2A, member 1
204286_s_at	5366	PMAIP1	chr18q21.32	1	1	0	1	0	0	0	0	0	0	0	phorbol-12-myristate-13-acetate-induced protein 1
214553_s_at	10776	ARPP-19	chr15q21.2	1	1	0	1	0	0	0	0	0	0	0	cyclic AMP phosphoprotein, 19 kD
212542_s_at	55023	PHIP	chr6q14	1	1	0	1	0	0	0	0	0	0	0	pleckstrin homology domain interacting protein
1567214_a_at	5411	PNN	chr14q21.1	1	1	0	1	0	0	0	0	0	0	0	pinin, desmosome associated protein
201446_s_at	7072	TIA1	chr2p13	1	1	0	1	0	0	0	0	0	0	0	TIA1 cytotoxic granule-associated RNA binding protein
213026_at	9140	ATG12	chr5q21-q22	1	1	0	1	0	0	0	0	0	0	0	ATG12 autophagy related 12 homolog (S. cerevisiae)
214820_at	54014	BRWD1	chr21q22.2	1	1	0	1	0	0	0	0	0	0	0	bromodomain and WD repeat domain containing 1
1558675_s_at	9147	SDCCAG1	chr14q22	1	1	0	1	0	0	0	0	0	0	0	serologically defined colon cancer antigen 1
228129_at	26135	SERBP1	chr1p31	1	1	0	1	0	0	0	0	0	0	0	SERPINE1 mRNA binding protein 1
235170_at	168374	ZNF92	chr7q11.21	1	1	0	1	0	0	0	0	0	0	0	zinc finger protein 92
219889_at	10023	FRAT1	chr10q24.1	1	1	0	1	0	0	0	0	0	0	0	frequently rearranged in advanced T-cell lymphomas
212607_at	10000	AKT3	chr1q43-q44	1	1	0	1	0	0	0	0	0	0	0	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
222880_at	10000	AKT3	chr1q43-q44	1	1	0	1	0	0	0	0	0	0	0	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
217862_at	8554	PIAS1	chr15q	1	1	0	1	0	0	0	0	0	0	0	protein inhibitor of activated STAT, 1
217941_s_at	55914	ERBB2IP	chr5q12.3	1	1	0	1	0	0	0	0	0	0	0	erbb2 interacting protein
208901_s_at	7150	TOP1	chr20q12-q13.1	1	1	0	1	0	0	0	0	0	0	0	topoisomerase (DNA) I
222473_s_at	55914	ERBB2IP	chr5q12.3	1	1	0	1	0	0	0	0	0	0	0	erbb2 interacting protein
201138_s_at	6741	SSB	chr2q31.1	1	1	0	1	0	0	0	0	0	0	0	Sjogren syndrome antigen B (autoantigen La)
221483_s_at	10776	ARPP-19	chr15q21.2	1	1	0	1	0	0	0	0	0	0	0	cyclic AMP phosphoprotein, 19 kD
202467_s_at	9318	COPS2	chr15q21.2	1	1	0	1	0	0	0	0	0	0	0	COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)
210962_s_at	10142	AKAP9	chr7q21-q22	1	1	0	1	0	0	0	0	0	0	0	A kinase (PRKA) anchor protein (yotiao) 9
237276_at	4678	NASP	chr1p34.1	1	1	0	1	0	0	0	0	0	0	0	Nuclear autoantigenic sperm protein (histone-binding) (NASP), transcript variant 1, mRNA
219280_at	54014	BRWD1	chr21q22.2	1	1	0	1	0	0	0	0	0	0	0	bromodomain and WD repeat domain containing 1
1554105_at	84548	TMEM185A	chrXq28	1	1	0	1	0	0	0	0	0	0	0	transmembrane protein 185A
227428_at	2551	GABPA	chr21q21-q22.1|21q21.3	1	1	0	1	0	0	0	0	0	0	0	GA binding protein transcription factor, alpha subunit 60kDa
206377_at	2295	FOXF2	chr6p25.3	1	1	0	1	0	0	0	0	0	0	0	forkhead box F2
216305_s_at	6936	C2orf3	chr2p11.2-p11.1	1	1	0	1	0	0	0	0	0	0	0	chromosome 2 open reading frame 3
208405_s_at	8763	CD164	chr6q21	1	1	0	1	0	0	0	0	0	0	0	CD164 molecule, sialomucin
201143_s_at	1965	EIF2S1	chr14q23.3	1	1	0	1	0	0	0	0	0	0	0	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa
223784_at	57393	TMEM27	chrXp22	1	1	0	1	0	0	0	0	0	0	0	transmembrane protein 27
1554433_a_at	7705	ZNF146	chr19q13.1	1	1	0	1	0	0	0	0	0	0	0	zinc finger protein 146
218520_at	29110	TBK1	chr12q14.1	1	1	0	1	0	0	0	0	0	0	0	TANK-binding kinase 1
217739_s_at	10135	NAMPT	chr7q22.2	1	1	0	1	0	0	0	0	0	0	0	nicotinamide phosphoribosyltransferase
201012_at	301	ANXA1	chr9q12-q21.2|9q12-q21.2	1	1	0	1	0	0	0	0	0	0	0	annexin A1
234192_s_at	80318	GKAP1	chr9q21.32	1	1	0	1	0	0	0	0	0	0	0	G kinase anchoring protein 1
217492_s_at	11191   5728	PTEN /// PTENP1	chr10q23.3 /// chr9p21	1	1	0	1	0	0	0	0	0	0	0	phosphatase and tensin homolog /// phosphatase and tensin homolog pseudogene 1
32088_at	8548	BLZF1	chr1q24	1	1	0	1	0	0	0	0	0	0	0	basic leucine zipper nuclear factor 1
212322_at	8879	SGPL1	chr10q21	1	1	0	1	0	0	0	0	0	0	0	sphingosine-1-phosphate lyase 1
201839_s_at	4072	EPCAM	chr2p21	1	1	0	1	0	0	0	0	0	0	0	epithelial cell adhesion molecule
224761_at	10672	GNA13	chr17q24.3	1	1	0	1	0	0	0	0	0	0	0	guanine nucleotide binding protein (G protein), alpha 13
217945_at	53339	BTBD1	chr15q24	1	1	0	1	0	0	0	0	0	0	0	BTB (POZ) domain containing 1
212036_s_at	5411	PNN	chr14q21.1	1	1	0	1	0	0	0	0	0	0	0	pinin, desmosome associated protein
206158_s_at	7555	CNBP	chr3q21	1	1	0	1	0	0	0	0	0	0	0	CCHC-type zinc finger, nucleic acid binding protein
201450_s_at	7072	TIA1	chr2p13	1	1	0	1	0	0	0	0	0	0	0	TIA1 cytotoxic granule-associated RNA binding protein
220443_s_at	25806	VAX2	chr2p13	1	1	0	1	0	0	0	0	0	0	0	ventral anterior homeobox 2
1554241_at	1690	COCH	chr14q12-q13	1	1	0	1	0	0	0	0	0	0	0	coagulation factor C homolog, cochlin (Limulus polyphemus)
227771_at	3977	LIFR	chr5p13-p12	1	1	0	1	0	0	0	0	0	0	0	leukemia inhibitory factor receptor alpha
1554992_at	5923	RASGRF1	chr15q24	1	1	0	1	0	0	0	0	0	0	0	Ras protein-specific guanine nucleotide-releasing factor 1
201636_at	8087	FXR1	chr3q28	1	1	0	1	0	0	0	0	0	0	0	fragile X mental retardation, autosomal homolog 1
226106_at	50862	RNF141	chr11p15.4	1	1	0	1	0	0	0	0	0	0	0	ring finger protein 141
209901_x_at	199	AIF1	chr6p21.3	1	1	0	1	0	0	0	0	0	0	0	allograft inflammatory factor 1
223250_at	55975	KLHL7	chr7p15.3	1	1	0	1	0	0	0	0	0	0	0	kelch-like 7 (Drosophila)
201236_s_at	7832	BTG2	chr1q32	1	1	0	0	1	0	0	0	0	0	0	BTG family, member 2
228851_s_at	2029	ENSA	chr1q21.2	1	1	0	0	1	0	0	0	0	0	0	endosulfine alpha
214591_at	56062	KLHL4	chrXq21.3	1	1	0	0	1	0	0	0	0	0	0	kelch-like 4 (Drosophila)
225087_at	123811	C16orf63	chr16p13.11	1	1	0	0	1	0	0	0	0	0	0	chromosome 16 open reading frame 63
204540_at	1917	EEF1A2	chr20q13.3	1	1	0	0	1	0	0	0	0	0	0	eukaryotic translation elongation factor 1 alpha 2
214548_x_at	2778	GNAS	chr20q13.3	1	1	0	0	1	0	0	0	0	0	0	GNAS complex locus
205533_s_at	1004	CDH6	chr5p15.1-p14	1	1	0	0	1	0	0	0	0	0	0	cadherin 6, type 2, K-cadherin (fetal kidney)
208805_at	5687   9692	KIAA0391 /// PSMA6	chr14q13 /// chr14q13.2	1	1	0	0	1	0	0	0	0	0	0	KIAA0391 /// proteasome (prosome, macropain) subunit, alpha type, 6
239570_at	5861	RAB1A	chr2p14	1	1	0	0	1	0	0	0	0	0	0	GTP-binding protein (RAB1A) mRNA, 3' untranslated region
219697_at	9956	HS3ST2	chr16p12	1	1	0	0	1	0	0	0	0	0	0	heparan sulfate (glucosamine) 3-O-sulfotransferase 2
227271_at	2256	FGF11	chr17p13.1	1	1	0	0	1	0	0	0	0	0	0	fibroblast growth factor 11
224130_s_at	10011	SRA1	chr5q31.3	1	1	0	0	1	0	0	0	0	0	0	steroid receptor RNA activator 1
210969_at	5586	PKN2	chr1p22.2	1	1	0	0	1	0	0	0	0	0	0	protein kinase N2
238542_at	80328	ULBP2	chr6q25	1	1	0	0	1	0	0	0	0	0	0	UL16 binding protein 2
225827_at	27161	EIF2C2	chr8q24	1	1	0	0	1	0	0	0	0	0	0	eukaryotic translation initiation factor 2C, 2
205091_x_at	5965	RECQL	chr12p12	1	1	0	0	1	0	0	0	0	0	0	RecQ protein-like (DNA helicase Q1-like)
224844_at	57606	SLAIN2	chr4p12	1	1	0	0	1	0	0	0	0	0	0	SLAIN motif family, member 2
201427_s_at	6414	SEPP1	chr5q31	1	1	0	0	1	0	0	0	0	0	0	selenoprotein P, plasma, 1
230619_at	405	ARNT	chr1q21	1	1	0	0	1	0	0	0	0	0	0	aryl hydrocarbon receptor nuclear translocator
224062_x_at	9622	KLK4	chr19q13.41	1	1	0	0	1	0	0	0	0	0	0	kallikrein-related peptidase 4
213790_at	8038	ADAM12	chr10q26.3	1	1	0	0	1	0	0	0	0	0	0	ADAM metallopeptidase domain 12
206912_at	2304	FOXE1	chr9q22	1	1	0	0	1	0	0	0	0	0	0	forkhead box E1 (thyroid transcription factor 2)
226212_s_at	3643	INSR	chr19p13.3-p13.2	1	1	0	0	1	0	0	0	0	0	0	insulin receptor
201971_s_at	523	ATP6V1A	chr3q13.2-q13.31	1	1	0	0	1	0	0	0	0	0	0	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A
201247_at	6721	SREBF2	chr22q13	1	1	0	0	1	0	0	0	0	0	0	sterol regulatory element binding transcription factor 2
208216_at	1748	DLX4	chr17q21.33	1	1	0	0	1	0	0	0	0	0	0	distal-less homeobox 4
1553963_at	388	RHOB	chr2p24	1	1	0	0	1	0	0	0	0	0	0	ras homolog gene family, member B
218807_at	10451	VAV3	chr1p13.3	1	1	0	0	1	0	0	0	0	0	0	vav 3 guanine nucleotide exchange factor
220060_s_at	55010	C12orf48	chr12q23.2	1	1	0	0	1	0	0	0	0	0	0	chromosome 12 open reading frame 48
213943_at	7291	TWIST1	chr7p21.2	1	1	0	0	1	0	0	0	0	0	0	twist homolog 1 (Drosophila)
221499_s_at	8675	STX16	chr20q13.32	1	1	0	0	1	0	0	0	0	0	0	syntaxin 16
1554680_s_at	3788	KCNS2	chr8q22	1	1	0	0	1	0	0	0	0	0	0	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2
230425_at	2047	EPHB1	chr3q21-q23	1	1	0	0	1	0	0	0	0	0	0	EPH receptor B1
200981_x_at	2778	GNAS	chr20q13.3	1	1	0	0	1	0	0	0	0	0	0	GNAS complex locus
220551_at	57084	SLC17A6	chr11p14.3	1	1	0	0	1	0	0	0	0	0	0	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6
203037_s_at	9788	MTSS1	chr8p22	1	1	0	0	1	0	0	0	0	0	0	metastasis suppressor 1
205436_s_at	3014	H2AFX	chr11q23.2-q23.3	1	1	0	0	1	0	0	0	0	0	0	H2A histone family, member X
227958_s_at	2934	GSN	chr9q33	1	1	0	0	1	0	0	0	0	0	0	CDNA FLJ38961 fis, clone NT2RI2000276, highly similar to Gelsolin precursor
207464_at	10768	AHCYL1	chr1p13.2	1	1	0	0	1	0	0	0	0	0	0	S-adenosylhomocysteine hydrolase-like 1
223156_at	51649	MRPS23	chr17q22-q23	1	1	0	0	1	0	0	0	0	0	0	mitochondrial ribosomal protein S23
243629_x_at	4241	MFI2	chr3q28-q29	1	1	0	0	1	0	0	0	0	0	0	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5
219107_at	63827	BCAN	chr1q31	1	1	0	0	1	0	0	0	0	0	0	brevican
228213_at	55766	H2AFJ	chr12p12	1	1	0	0	1	0	0	0	0	0	0	H2A histone family, member J
242823_at	170692	ADAMTS18	chr16q23	1	1	0	0	1	0	0	0	0	0	0	Full length insert cDNA clone ZD16H11
208704_x_at	334	APLP2	chr11q23-q25|11q24	1	1	0	0	1	0	0	0	0	0	0	amyloid beta (A4) precursor-like protein 2
210221_at	1136	CHRNA3	chr15q24	1	1	0	0	1	0	0	0	0	0	0	cholinergic receptor, nicotinic, alpha 3
210583_at	84271	POLDIP3	chr22q13.2	1	1	0	0	1	0	0	0	0	0	0	polymerase (DNA-directed), delta interacting protein 3
236711_at	84107	ZIC4	chr3q24	1	1	0	0	1	0	0	0	0	0	0	Zic family member 4
202203_s_at	267	AMFR	chr16q21	1	1	0	0	1	0	0	0	0	0	0	autocrine motility factor receptor
201639_s_at	29894	CPSF1	chr8q24.23	1	1	0	0	1	0	0	0	0	0	0	cleavage and polyadenylation specific factor 1, 160kDa
238682_at	257236	CCDC96	chr4p16.1	1	1	0	0	1	0	0	0	0	0	0	coiled-coil domain containing 96
1553741_at	148645	C1orf211	chr1p36.31	1	1	0	0	1	0	0	0	0	0	0	chromosome 1 open reading frame 211
236017_at	51265	CDKL3	chr5q31	1	1	0	0	1	0	0	0	0	0	0	cyclin-dependent kinase-like 3
208248_x_at	334	APLP2	chr11q23-q25|11q24	1	1	0	0	1	0	0	0	0	0	0	amyloid beta (A4) precursor-like protein 2
223704_s_at	10655	DMRT2	chr9p24.3	1	1	0	0	1	0	0	0	0	0	0	doublesex and mab-3 related transcription factor 2
55616_at	93210	PERLD1	chr17q12	1	1	0	0	1	0	0	0	0	0	0	per1-like domain containing 1
207212_at	6550	SLC9A3	chr5p15.3	1	1	0	0	1	0	0	0	0	0	0	solute carrier family 9 (sodium/hydrogen exchanger), member 3
200780_x_at	2778	GNAS	chr20q13.3	1	1	0	0	1	0	0	0	0	0	0	GNAS complex locus
201879_at	25820	ARIH1	chr15q24	1	1	0	0	1	0	0	0	0	0	0	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)
206699_x_at	4861	NPAS1	chr19q13.2-q13.3	1	1	0	0	1	0	0	0	0	0	0	neuronal PAS domain protein 1
243857_at	9643	MORF4L2	chrXq22	1	1	0	0	1	0	0	0	0	0	0	Mrgx mRNA for MRGX
214097_at	6227	RPS21	chr20q13.3	1	1	0	0	1	0	0	0	0	0	0	ribosomal protein S21
213276_at	816	CAMK2B	chr22q12|7p14.3-p14.1	1	1	0	0	1	0	0	0	0	0	0	calcium/calmodulin-dependent protein kinase II beta
224864_at	10011	SRA1	chr5q31.3	1	1	0	0	1	0	0	0	0	0	0	steroid receptor RNA activator 1
215259_s_at	199731	CADM4	chr19q13.31	1	1	0	0	1	0	0	0	0	0	0	cell adhesion molecule 4
232846_s_at	64072	CDH23	chr10q21-q22	1	1	0	0	1	0	0	0	0	0	0	cadherin-like 23
219203_at	51016	FAM158A	chr14q11.2	1	1	0	0	1	0	0	0	0	0	0	family with sequence similarity 158, member A
223772_s_at	25963	TMEM87A	chr15q15.1	1	1	0	0	1	0	0	0	0	0	0	transmembrane protein 87A
213344_s_at	3014	H2AFX	chr11q23.2-q23.3	1	1	0	0	1	0	0	0	0	0	0	H2A.X mRNA encoding histone H2A.X
208703_s_at	334	APLP2	chr11q23-q25|11q24	1	1	0	0	1	0	0	0	0	0	0	amyloid beta (A4) precursor-like protein 2
229397_s_at	2909	GRLF1	chr19q13.3	1	1	0	0	1	0	0	0	0	0	0	CDNA FLJ56603 complete cds, highly similar to Glucocorticoid receptor DNA-binding factor 1
201733_at	1182	CLCN3	chr4q33	1	1	0	0	1	0	0	0	0	0	0	chloride channel 3
209715_at	23468	CBX5	chr12q13.13	1	1	0	0	1	0	0	0	0	0	0	chromobox homolog 5 (HP1 alpha homolog, Drosophila)
226450_at	3643	INSR	chr19p13.3-p13.2	1	1	0	0	1	0	0	0	0	0	0	insulin receptor
212918_at	5965	RECQL	chr12p12	1	1	0	0	1	0	0	0	0	0	0	RecQ protein-like (DNA helicase Q1-like)
215042_at	654	BMP6	chr6p24-p23	1	1	0	0	1	0	0	0	0	0	0	bone morphogenetic protein 6
225077_at	1106	CHD2	chr15q26	1	1	0	0	1	0	0	0	0	0	0	chromodomain helicase DNA binding protein 2
1552953_a_at	4761	NEUROD2	chr17q12	1	1	0	0	1	0	0	0	0	0	0	neurogenic differentiation 2
216609_at	7295	TXN	chr9q31	1	1	0	0	1	0	0	0	0	0	0	Full length insert cDNA clone YI46D09
222530_s_at	8195	MKKS	chr20p12	1	1	0	0	1	0	0	0	0	0	0	McKusick-Kaufman syndrome
202164_s_at	9337	CNOT8	chr5q31-q33	1	1	0	0	1	0	0	0	0	0	0	CCR4-NOT transcription complex, subunit 8
234165_at	5729	PTGDR	chr14q22.1	1	1	0	0	1	0	0	0	0	0	0	prostaglandin D2 receptor (DP)
205251_at	8864	PER2	chr2q37.3	1	1	0	0	1	0	0	0	0	0	0	period homolog 2 (Drosophila)
214474_at	5565	PRKAB2	chr1q21.1	1	1	0	0	1	0	0	0	0	0	0	protein kinase, AMP-activated, beta 2 non-catalytic subunit
203201_at	5373	PMM2	chr16p13.3-p13.2	1	1	0	0	1	0	0	0	0	0	0	phosphomannomutase 2
244133_at	25862	USP49	chr6p21	1	1	0	0	1	0	0	0	0	0	0	ubiquitin specific peptidase 49
212273_x_at	2778	GNAS	chr20q13.3	1	1	0	0	1	0	0	0	0	0	0	GNAS complex locus
