ann.probe	tis.cnt	tis	lv.cnt	lv	fdf.pCsc	fdf.EscCsc	g.id.num	out.gid	g.sym	g.chr	n.ann.tsp	g.name	tcnd	cor.mean.csc	cor.mean.p	cor.mean.Esc
200659_s_at	3	lung colon sf	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-1.219656257	-1.093148188	1	5245	PHB	chr17q21	2	prohibitin	lg	0.217516527	0.280105291	0.3175844
208654_s_at	3	lung oral breast	"1,1,1"	"g.lv3.csc,g.lv3.csc,g.lv3.csc"	0.173019134	1.529733181	1	8763	CD164	chr6q21	12	"CD164 molecule, sialomucin"	x	0.217652118	0.291468227	0.296498014
219140_s_at	3	atrt breast gbm	"1,1,1"	"lv_set.a,lv_set.a,lv_set.a"	0.272932906	0.860793899	1	5950	RBP4	chr10q23-q24	6	"retinol binding protein 4, plasma"	cn	0.255176143	0.252520292	0.197758189
223278_at	3	atrt colon breast	"1,1,1"	"lv_set.a,lv_set.a,lv_set.a"	0.037826495	1.219552796	1	2706	GJB2	chr13q11-q12	1	"gap junction protein, beta 2, 26kDa"	cn	0.217665992	0.281019349	0.27961186
235024_at	3	atrt colon breast	"1,1,1"	"lv_set.a,lv_set.a,lv_set.a"	-0.096433767	-1.406985606	1	79960	PHF17	chr4q26-q27	3	PHD finger protein 17	sf	0.250769604	0.223852479	0.385834487
1552519_at	3	atrt oral breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	1.033022356	0.473559393	1	130399	ACVR1C	chr2q24.1	9	"activin A receptor, type IC"	com	0.250546932	0.211676898	0.272396357
201517_at	3	atrt oral colon	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.454271124	-0.175710368	1	22916	NCBP2	chr3q29	7	"nuclear cap binding protein subunit 2, 20kDa"	gbm	0.24227414	0.291514801	0.308293461
206140_at	3	atrt breast gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.10907231	0.756807265	1	9355	LHX2	chr9q33-q34.1	3	LIM homeobox 2	br	0.2633813	0.243465631	0.399065601
210507_s_at	3	atrt breast gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.358296147	-0.820038198	1	10677	AVIL	chr12q14.1	6	advillin	br	0.193174645	0.159746608	0.390861432
209820_s_at	3	atrt colon breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.03387819	0.350030803	1	10607	TBL3	chr16p13.3	7	transducin (beta)-like 3	cn	0.268640906	0.294114445	0.317930062
202192_s_at	3	atrt oral breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.040305525	-0.864711886	1	8522	GAS7	chr17p13.1	7	growth arrest-specific 7	cn	0.234472587	0.246832163	0.33417658
212217_at	3	atrt oral colon	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.222506222	0.841966724	1	9581	PREPL	chr2p21	14	prolyl endopeptidase-like	sf	0.248320944	0.330502992	0.359633209
224848_at	3	atrt oral colon	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.043664863	1.24538019	1	1021	CDK6	chr7q21-q22	2	cyclin-dependent kinase 6	sf	0.220659385	0.311765849	0.419843095
232563_at	3	atrt oral breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.668712074	0.234135855	1	127396	ZNF684	chr1p34.2	2	zinc finger protein 684	lg	0.252755879	0.32224788	0.379085774
1554362_at	3	atrt oral breast	"1,1,1"	"g.lv3.csc,g.lv3.csc,g.lv3.csc"	-0.113725091	-0.542911297	1	54766	BTG4	chr11q23	1	B-cell translocation gene 4	x	0.193802589	0.291268835	0.439184227
223529_at	3	atrt oral gbm	"1,1,1"	"g.lv3.csc,g.lv3.csc,g.lv3.csc"	-0.291485441	-1.638898003	1	6860	SYT4	chr18q12.3	4	synaptotagmin IV	x	0.209574252	0.239604904	0.301261439
201567_s_at	3	oral colon gbm	"2,2,2"	"lv_set.a g.lv3.csc,lv_set.a g.lv3.csc,lv_set.a g.lv3.csc"	0.796419343	0.942989818	1	2803	GOLGA4	chr3p22-p21.3	8	"golgi autoantigen, golgin subfamily a, 4"	com	0.20875942	0.338273903	0.375557854
225352_at	3	oral colon breast	"2,2,2"	"lv_set.a g.lv3.csc,lv_set.a g.lv3.csc,lv_set.a g.lv3.csc"	0.253094746	1.580428961	1	7095	SEC62	chr3q26.2	2	SEC62 homolog (S. cerevisiae)	gbm	0.243524634	0.329849196	0.455459976
201448_at	3	oral colon breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.320981254	-0.131489493	1	7072	TIA1	chr2p13	3	TIA1 cytotoxic granule-associated RNA binding protein	com	0.300302806	0.365824017	0.484766
214331_at	3	oral colon breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.739685699	-0.050521823	1	10102	TSFM	chr12q13-q14	2	"Ts translation elongation factor, mitochondrial"	com	0.252879157	0.274456479	0.357439614
226538_at	3	oral colon breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.285954864	-0.53228412	1	4124	MAN2A1	chr5q21-q22	1	"mannosidase, alpha, class 2A, member 1"	gbm	0.26590932	0.343566281	0.464221426
224761_at	3	oral colon breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.24768977	-0.550944349	1	10672	GNA13	chr17q24.3	3	"guanine nucleotide binding protein (G protein), alpha 13"	gbm	0.212981541	0.297555942	0.372319038
209716_at	3	oral breast gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.220531897	0.57029804	1	1435	CSF1	chr1p21-p13	1	colony stimulating factor 1 (macrophage)	snail	0.270980855	0.235242353	0.385428896
222427_s_at	3	oral colon gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.182879953	0.235250869	1	51520	LARS	chr5q32	14	leucyl-tRNA synthetase	sf	0.225297982	0.285866634	0.476170147
201447_at	3	oral colon breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.107778889	-0.49791734	1	7072	TIA1	chr2p13	3	TIA1 cytotoxic granule-associated RNA binding protein	sf	0.294459521	0.338331319	0.454928186
205105_at	3	oral colon gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.401705169	-0.696646603	1	4124	MAN2A1	chr5q21-q22	7	"mannosidase, alpha, class 2A, member 1"	sf	0.261808996	0.291240119	0.413440718
235103_at	3	oral colon gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.361088641	0.344791373	1	4124	MAN2A1	chr5q21-q22	1	"mannosidase, alpha, class 2A, member 1"	sf	0.227735074	0.321639572	0.469982012
212656_at	3	oral breast gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.842791178	-0.678759222	1	10102	TSFM	chr12q13-q14	8	"Ts translation elongation factor, mitochondrial"	lg	0.218081432	0.245613895	0.299503457
229194_at	3	oral colon breast	"1,1,1"	"g.lv6.csc.Esc,g.lv6.csc.Esc,g.lv6.csc.Esc"	0.564385299	2.068434368	1	84333	PCGF5	chr10q23.32	4	polycomb group ring finger 5	x	0.274532694	0.21114456	0.350817397
210937_s_at	3	oral breast gbm	"1,1,1"	"g.lv3.csc,g.lv3.csc,g.lv3.csc"	-0.751312762	-1.319664609	1	3651	PDX1	chr13q12.1	4	pancreatic and duodenal homeobox 1	x	0.180762186	0.248289344	0.308581325
203973_s_at	3	colon breast gbm	"1,1,1"	"lv_set.a,lv_set.a,lv_set.a"	-0.01825849	1.56395216	1	1052	CEBPD	chr8p11.2-p11.1	3	"CCAAT/enhancer binding protein (C/EBP), delta"	sf	0.281317807	0.218012824	0.220186245
208022_s_at	3	colon breast gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.438851815	-0.151137827	1	8555	CDC14B	chr9q22.33	10	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	sf	0.247603123	0.265205139	0.463135509
213534_s_at	3	colon breast gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.419866816	-1.602620264	1	23178	PASK	chr2q37.3	6	PAS domain containing serine/threonine kinase	sf	0.255385009	0.24366067	0.390823837
203418_at	3	breast gbm sf	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.38639568	-0.845886307	1	890	CCNA2	chr4q25-q31	6	cyclin A2	lg	0.265866507	0.251451576	0.362075191
222857_s_at	2	lung breast	"1,1"	"lv_set.a,lv_set.a"	0.349627859	-1.187553103	1	27345	KCNMB4	chr12q	6	"potassium large conductance calcium-activated channel, subfamily M, beta member 4"	com	0.242056045	0.212714269	0.436906716
214548_x_at	2	lung breast	"2,2"	"lv_set.a g.lv3.csc,lv_set.a g.lv3.csc"	-0.015683673	1.071604723	1	2778	GNAS	chr20q13.3	31	GNAS complex locus	atrt	0.222229934	0.199268392	0.447430276
219375_at	2	lung breast	"2,2"	"lv_set.a g.lv3.csc,lv_set.a g.lv3.csc"	0.484857747	1.256863233	1	10390	CEPT1	chr1p13.3	8	choline/ethanolamine phosphotransferase 1	lg	0.243741638	0.277712608	0.38940469
221591_s_at	2	lung atrt	"1,1"	"nov_set.a,nov_set.a"	-0.739577474	-1.195737976	1	54478	FAM64A	chr17p13.2	6	"family with sequence similarity 64, member A"	com	0.222062021	0.198889154	0.390465103
208737_at	2	lung oral	"1,1"	"nov_set.a,nov_set.a"	0.762431887	0.286929612	1	9550	ATP6V1G1	chr9q32	1	"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1"	gbm	0.154486652	0.253022861	0.277507556
217863_at	2	lung oral	"1,1"	"nov_set.a,nov_set.a"	0.38979158	0.447352594	1	8554	PIAS1	chr15q	11	"protein inhibitor of activated STAT, 1"	gbm	0.205316625	0.328760437	0.453850878
1554105_at	2	lung oral	"1,1"	"nov_set.a,nov_set.a"	0.057471682	0.756163612	1	84548	TMEM185A	chrXq28	5	transmembrane protein 185A	gbm	0.225482457	0.261975285	0.365651536
239570_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.614075751	-0.878095661	1	5861	RAB1A	chr2p14	5	"GTP-binding protein (RAB1A) mRNA, 3' untranslated region"	atrt	0.220986884	0.313513006	0.416927174
225827_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	0.29091523	0.953071566	1	27161	EIF2C2	chr8q24	2	"eukaryotic translation initiation factor 2C, 2"	atrt	0.252869344	0.271025055	0.248522661
205091_x_at	2	lung oral	"1,1"	"nov_set.a,nov_set.a"	0.322937656	1.093097261	1	5965	RECQL	chr12p12	7	RecQ protein-like (DNA helicase Q1-like)	atrt	0.21730026	0.336830599	0.475119238
224844_at	2	lung oral	"1,1"	"nov_set.a,nov_set.a"	0.443493804	0.947940436	1	57606	SLAIN2	chr4p12	3	"SLAIN motif family, member 2"	atrt	0.263074965	0.350555224	0.414422029
201427_s_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.056739198	-1.062961061	1	6414	SEPP1	chr5q31	7	"selenoprotein P, plasma, 1"	atrt	0.238999373	0.215839045	0.433525665
201247_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	0.656182494	0.123011621	1	6721	SREBF2	chr22q13	1	sterol regulatory element binding transcription factor 2	atrt	0.226511648	0.270934935	0.370444439
221499_s_at	2	lung oral	"1,1"	"nov_set.a,nov_set.a"	0.64421139	1.040706746	1	8675	STX16	chr20q13.32	10	syntaxin 16	atrt	0.241395453	0.279735886	0.258523521
200981_x_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.030748862	0.937751049	1	2778	GNAS	chr20q13.3	33	GNAS complex locus	atrt	0.230485255	0.212899062	0.45076313
223156_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.511095381	0.053346858	1	51649	MRPS23	chr17q22-q23	4	mitochondrial ribosomal protein S23	atrt	0.224153139	0.235315722	0.305328816
243629_x_at	2	lung gbm	"1,1"	"nov_set.a,nov_set.a"	0.253285834	0.504827141	1	4241	MFI2	chr3q28-q29	1	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	atrt	0.239301006	0.253314984	0.325796933
210221_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	0.098535773	-1.108829163	1	1136	CHRNA3	chr15q24	8	"cholinergic receptor, nicotinic, alpha 3"	atrt	0.238804056	0.244684877	0.376572973
200780_x_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.031579263	0.911858387	1	2778	GNAS	chr20q13.3	29	GNAS complex locus	atrt	0.225551679	0.207737536	0.449777128
206699_x_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.073644477	-1.25158024	1	4861	NPAS1	chr19q13.2-q13.3	1	neuronal PAS domain protein 1	atrt	0.262009753	0.239718472	0.262814118
214097_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.551930421	-0.497595161	1	6227	RPS21	chr20q13.3	2	ribosomal protein S21	atrt	0.215670842	0.213094992	0.334907348
215259_s_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	0.386923006	0.208396881	1	199731	CADM4	chr19q13.31	3	cell adhesion molecule 4	atrt	0.235712923	0.221829417	0.2133184
213344_s_at	2	lung gbm	"1,1"	"nov_set.a,nov_set.a"	-0.843536633	-0.928292985	1	3014	H2AFX	chr11q23.2-q23.3	103	H2A.X mRNA encoding histone H2A.X	atrt	0.209080664	0.264998251	0.329959726
226450_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.054346297	-0.956725186	1	3643	INSR	chr19p13.3-p13.2	4	insulin receptor	atrt	0.225426433	0.182697369	0.361592942
1552953_a_at	2	lung oral	"1,1"	"nov_set.a,nov_set.a"	-0.796177755	-0.770341555	1	4761	NEUROD2	chr17q12	4	neurogenic differentiation 2	atrt	0.235716998	0.277995148	0.365726453
212273_x_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.026361616	0.943090758	1	2778	GNAS	chr20q13.3	29	GNAS complex locus	atrt	0.22620509	0.205403978	0.450579389
227706_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.657142122	0.667002702	1	84501	SPIRE2	chr16q24	6	spire homolog 2 (Drosophila)	atrt	0.255964775	0.17921034	0.235900508
201165_s_at	2	lung gbm	"1,1"	"nov_set.a,nov_set.a"	0.368476419	0.597726174	1	9698	PUM1	chr1p35.2	6	pumilio homolog 1 (Drosophila)	atrt	0.19894309	0.181920579	0.428318115
205290_s_at	2	lung gbm	"1,1"	"nov_set.a,nov_set.a"	0.659091506	-0.398431618	1	650	BMP2	chr20p12	2	bone morphogenetic protein 2	br	0.195493482	0.252924367	0.268572593
202094_at	2	lung atrt	"1,1"	"nov_set.a,nov_set.a"	-0.996814606	-0.219918509	1	332	BIRC5	chr17q25	6	baculoviral IAP repeat-containing 5	cn	0.24268511	0.236723487	0.333761325
205578_at	2	lung atrt	"1,1"	"nov_set.a,nov_set.a"	0.420181979	-0.736077008	1	4920	ROR2	chr9q22	4	receptor tyrosine kinase-like orphan receptor 2	cn	0.226117754	0.212034791	0.244971658
219347_at	2	lung atrt	"1,1"	"nov_set.a,nov_set.a"	-0.311371406	-1.300496041	1	55270	NUDT15	chr13q14.2	4	nudix (nucleoside diphosphate linked moiety X)-type motif 15	cn	0.240270924	0.221175878	0.330114842
226216_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	0.03749348	-0.824597448	1	3643	INSR	chr19p13.3-p13.2	4	insulin receptor	snail	0.24146678	0.215558706	0.399554581
209503_s_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.689304758	-0.256011585	1	5705	PSMC5	chr17q23-q25	15	"proteasome (prosome, macropain) 26S subunit, ATPase, 5"	snail	0.24061875	0.207866767	0.394211053
225459_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	0.461365041	0.338815892	1	154810	AMOTL1	chr11q14.3	3	angiomotin like 1	snail	0.218035367	0.249936714	0.352059026
223049_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.242992579	0.613753661	1	2885	GRB2	chr17q24-q25	9	growth factor receptor-bound protein 2	snail	0.266613577	0.23479145	0.415482325
228988_at	2	lung colon	"1,1"	"nov_set.a,nov_set.a"	0.081026869	-0.57924068	1	7552	ZNF711	chrXq21.1-q21.2	6	zinc finger protein 711	sf	0.287495102	0.298318304	0.483358808
217805_at	2	lung colon	"1,1"	"nov_set.a,nov_set.a"	0.224484872	-0.014232497	1	3609	ILF3	chr19p13.2	1	"interleukin enhancer binding factor 3, 90kDa"	sf	0.239546038	0.227581301	0.257474904
211498_s_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.612981138	-1.293002375	1	4824	NKX3-1	chr8p21	11	NK3 homeobox 1	lg	0.215188996	0.304934699	0.405440904
1552263_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	0.355761603	-0.481729004	1	5594	MAPK1	chr22q11.2|22q11.21	3	mitogen-activated protein kinase 1	lg	0.222304017	0.230361186	0.396952389
212981_s_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	0.284349472	0.740666585	1	9747	FAM115A	chr7q35	1	"family with sequence similarity 115, member A"	lg	0.255137556	0.216090969	0.41403028
203270_at	2	lung sf	"1,1"	"nov_set.a,nov_set.a"	-0.885828289	0.189076347	2	1841   727761	DTYMK /// LOC727761	chr2q37.3	7	deoxythymidylate kinase (thymidylate kinase) /// similar to Deoxythymidylate kinase (thymidylate kinase)	lg	0.203972332	0.266601672	0.355162432
1553984_s_at	2	lung breast	"1,1"	"nov_set.a,nov_set.a"	-0.797664826	0.469850158	2	1841   727761	DTYMK /// LOC727761	chr2q37.3	9	deoxythymidylate kinase (thymidylate kinase) /// similar to Deoxythymidylate kinase (thymidylate kinase)	lg	0.213875472	0.252739634	0.39866106
219651_at	2	lung breast	"1,1"	"g.lv7.ALL,g.lv7.ALL"	-0.004158458	-1.89649558	1	55211	DPPA4	chr3q13.13	2	developmental pluripotency associated 4	x	0.182054477	0.183443525	0.446122689
206012_at	2	lung breast	"1,1"	"g.lv5.p.csc,g.lv5.p.csc"	-0.01558172	-1.756053315	1	7044	LEFTY2	chr1q42.1	6	left-right determination factor 2	x	0.190603428	0.314166541	0.385513881
204631_at	2	lung breast	"1,1"	"g.lv5.p.csc,g.lv5.p.csc"	-0.24551703	-1.572550539	1	4620	MYH2	chr17p13.1	5	"myosin, heavy chain 2, skeletal muscle, adult"	x	0.19891123	0.213526672	0.234151711
204548_at	2	lung breast	"1,1"	"g.lv5.p.csc,g.lv5.p.csc"	-0.171699229	-1.660922851	1	6770	STAR	chr8p11.2	8	steroidogenic acute regulatory protein	x	0.183034422	0.173259178	0.353807805
211858_x_at	2	lung breast	"1,1"	"g.lv3.csc,g.lv3.csc"	-0.021908414	1.065288056	1	2778	GNAS	chr20q13.3	22	GNAS complex locus	x	0.201732811	0.181551263	0.453920686
205011_at	2	lung colon	"1,1"	"g.lv3.csc,g.lv3.csc"	-0.125484675	-1.665340143	1	4013	VWA5A	chr11q23	9	von Willebrand factor A domain containing 5A	x	0.236944212	0.268470204	0.404606044
216967_at	2	lung gbm	"1,1"	"g.lv3.csc,g.lv3.csc"	-0.297404491	-1.56945649	1	2596	GAP43	chr3q13.1-q13.2	1	growth associated protein 43	x	0.165460543	0.237390287	0.264222893
228252_at	2	lung colon	"1,1"	"g.lv3.csc,g.lv3.csc"	-0.654821221	-1.659671209	1	80119	PIF1	chr15q22.31	9	PIF1 5'-to-3' DNA helicase homolog (S. cerevisiae)	x	0.187182646	0.235799033	0.389204126
235067_at	2	atrt oral	"2,2"	"lv_set.a g.lv3.csc,lv_set.a g.lv3.csc"	0.633788777	1.503409394	1	4289	MKLN1	chr7q32	2	"muskelin 1, intracellular mediator containing kelch motifs"	cn	0.246861396	0.362627115	0.274196515
226591_at	2	atrt gbm	"2,2"	"lv_set.a g.lv5.p.csc,lv_set.a g.lv5.p.csc"	0.001763865	-1.681208047	1	6638	SNRPN	chr15q11.2	1	small nuclear ribonucleoprotein polypeptide N	cn	0.254733791	0.257369611	0.484454439
219142_at	2	atrt breast	"2,2"	"lv_set.a g.lv5.p.csc,lv_set.a g.lv5.p.csc"	0.099492718	-1.76346434	1	65997	RASL11B	chr4q12	7	"RAS-like, family 11, member B"	cn	0.224525182	0.207904118	0.409296267
228894_at	2	atrt breast	"2,2"	"lv_set.a g.lv7.ALL,lv_set.a g.lv7.ALL"	0.162543651	-1.823831421	2	253842   2649	LOC253842 /// NR6A1	chr9q33-q34.1 /// chr9q34.11	2	"hypothetical protein LOC253842 /// nuclear receptor subfamily 6, group A, member 1"	cn	0.207543513	0.24504319	0.335829005
202240_at	2	atrt sf	"1,1"	"nov_set.a,nov_set.a"	-0.850044083	-0.399939855	1	5347	PLK1	chr16p12.1	9	polo-like kinase 1 (Drosophila)	com	0.254697153	0.252321784	0.321683624
201636_at	2	atrt oral	"1,1"	"nov_set.a,nov_set.a"	0.691955572	-0.096828017	1	8087	FXR1	chr3q28	8	"fragile X mental retardation, autosomal homolog 1"	gbm	0.253657182	0.336243195	0.403411417
210583_at	2	atrt breast	"1,1"	"nov_set.a,nov_set.a"	-0.184783986	-0.726046919	1	84271	POLDIP3	chr22q13.2	11	"polymerase (DNA-directed), delta interacting protein 3"	atrt	0.163523237	0.18331659	0.424395401
1565737_at	2	atrt breast	"1,1"	"nov_set.a,nov_set.a"	-0.231763086	-1.089355292	1	6344	SCTR	chr2q14.1	8	secretin receptor	br	0.190973124	0.301992574	0.391587917
215143_at	2	atrt breast	"1,1"	"nov_set.a,nov_set.a"	-0.305812595	0.666908702	1	349152	DPY19L2P2	chr7q22.1	1	dpy-19-like 2 pseudogene 2 (C. elegans)	br	0.278241134	0.32352521	0.290830437
218926_at	2	atrt oral	"1,1"	"nov_set.a,nov_set.a"	0.316799935	0.180093932	1	55892	MYNN	chr3q26.2	5	myoneurin	cn	0.221842031	0.257122985	0.387004075
216037_x_at	2	atrt gbm	"1,1"	"nov_set.a,nov_set.a"	-0.05217434	-0.600061583	1	6934	TCF7L2	chr10q25.3	1	"transcription factor 7-like 2 (T-cell specific, HMG-box)"	cn	0.218878207	0.267062771	0.463613768
207267_s_at	2	atrt breast	"1,1"	"nov_set.a,nov_set.a"	-0.129140836	-0.597716547	1	53820	DSCR6	chr21q22.2	6	Down syndrome critical region gene 6	cn	0.22681145	0.239861964	0.286178352
